project_num,research_initiative,sub_project,contact_pi,co_pis,comments
1U01DA053976-01,RADx-rad,Wastewater,"Conroy-Ben, Otakuye","Halden, Rolf U|Hamilton, Kerry",AI/AN governed by the Tribal Data Repository
1U24LM013755-01,RADx-rad,Data Coordinating Center,"Ohno-Machado, Lucila","Aronoff-Spencer, Eliah S|Xu, Hua",RADx-rad Data Coordination Center
1U01HL152410-01,RADx-rad,Novel Biosensing and VOC,"Fay, William P","Grant, Sheila Ann|Turpin, William Monroe",
1R01NR020105-01,RADx-rad,Multimodal Surveillance,"Snyder, Michael P",,
1R01DE031114-01,RADx-rad,Multimodal Surveillance,"Jokerst, Jesse Vincent",,
1U01DA053941-01,RADx-rad,Wastewater,"Solo-Gabriele, Helena","Mason, Christopher Edward|Schurer, Stephan C",
3U01LM013129-02S1,RADx-rad,Wastewater,"Scotch, Matthew","Halden, Rolf U|Varsani, Arvind",
1U01DA053903-01,RADx-rad,Wastewater,"Berry, Scott Michael",,
1U01AA029324-01,RADx-rad,Automatic Detection & Tracing,"Potyrailo, Radislav A",,
1U18TR003778-01,RADx-rad,Exosome,"Wong, David Tai Wai","Huang, Tony Jun|Kim, Yong|Xie, Ya-Hong",
1U01AA029328-01,RADx-rad,Automatic Detection & Tracing,"Vanegas-Gamboa, Diana Carolina",,
1R61HD105610-01,RADx-rad,PreVAIL kIds,"Sethuraman, Usha","Hicks, Steven Daniel|Zhu, Dongxiao",
1R44DE030841-01,RADx-rad,Novel Biosensing and VOC,"Young, Erik F","Shepard, Kenneth L",
1R01MD016526-01,RADx-rad,Multimodal Surveillance,"Sinclair, Ka'Imi Alohilani",,Dr. Sinclair passed away in 2022. Dr. Dillard was assigned as the data PI.
1R61HD105590-01,RADx-rad,PreVAIL kIds,"Burns, Jane C",,
1U18TR003787-01,RADx-rad,SCENT,"Fu, Xiao-An","Nantz, Michael H",
1U01AA029316-01,RADx-rad,Automatic Detection & Tracing,"Pun, Suzie H","Smith, Joshua R",
1R61HD105619-01,RADx-rad,PreVAIL kIds,"Kleinman, Lawrence C","Gennaro, Maria Laura|Horton, Daniel Benjamin",
1R42DE030829-01,RADx-rad,Novel Biosensing and VOC,"Khosravi-Far, Roya",,
1R42DE030832-01,RADx-rad,Novel Biosensing and VOC,"Keady, Patricia Bea",,
1U01AA029348-01,RADx-rad,Automatic Detection & Tracing,"Peng, Lu","Wang, Xing",
5U01HL150852-02,RADx-rad,Novel Biosensing and VOC,"Panettieri, Reynold Alexander","Libutti, Steven K|Pasqualini, Renata",
1R61HD105593-01,RADx-rad,PreVAIL kIds,"Annapragada, Ananth V","Allen, Carl E|Devaraj, Sridevi|Rusin, Craig G",
1U18TR003775-01,RADx-rad,SCENT,"Johnson, Alan T Charlie",,
1U18TR003795-01,RADx-rad,SCENT,"Davis, Cristina Elizabeth","Kenyon, Nicholas J",
4U54HL119145-08,RADx-rad,Novel Biosensing and VOC,"Loscalzo, Joseph","Parrish, John A|Golan, David E",
1R61HD105594-01,RADx-rad,PreVAIL kIds,"Odom John, Audrey Ragan",,
4R33HD105594-03,RADx-rad,PreVAIL kIds,"Odom John, Audrey Ragan",,
1U01DA053949-01,RADx-rad,Wastewater,"Uhlemann, Anne-Catrin","Chandran, Kartik",
1R61HD105613-01,RADx-rad,PreVAIL kIds,"Salazar, Juan C","Lynes, Michael A|Lawrence, David A",
1U01DC019573-01,RADx-rad,Chemosensory Testing,"Munger, Steven D","Gerkin, Richard C|Hayes, John Edward",
3R01DC016112-04S1,RADx-rad,Chemosensory Testing,"Travers, Susan P",,
1R01DK130067-01,RADx-rad,Multimodal Surveillance,"Wang, Yuedong","Guo, Wensheng|Kotanko, Peter",
1U01DA053893-01,RADx-rad,Wastewater,"Wenzel, Jeffrey",,
1R44DE030852-01,RADx-rad,Novel Biosensing and VOC,"Yao, Xiaohu",,
3U01HL146002-04S2,RADx-rad,Novel Biosensing and VOC,"Levy, Bruce D","Aronica, Mark A|Castro, Mario|Comhair, Suzy|Denlinger, Loren C|Hoffman, Eric Alfred|Israel, Elliot|Khatri, Purveshkumar|Mauger, David T|Meyers, Deborah A|Moore, Wendy C|Woodruff, Prescott G|Wenzel, Sally E",Dr. Nasr is the lead scientist and data PI.
1U01DC019578-01,RADx-rad,Chemosensory Testing,"Dalton, Pamela Helen","Parma, Valentina",
1U01AA029331-01,RADx-rad,Automatic Detection & Tracing,"Cirrito, John R",,
1R44DE030842-01,RADx-rad,Novel Biosensing and VOC,"Ly, Jeffrey",,
1U18TR003807-01,RADx-rad,Exosome,"Reátegui, Eduardo","Lee, Ly James|Pancholi, Preeti|Wang, Kai",
1U01DA053899-01,RADx-rad,Wastewater,"Noble, Rachel Todd",,
1U01AA029345-01,RADx-rad,Automatic Detection & Tracing,"Salaita, Khalid S",,
1U18TR003812-01,RADx-rad,SCENT,"Fan, Xudong","Ward, Kevin",
1U18TR003793-01,RADx-rad,Exosome,"Stott, Shannon L","Boland, Genevieve Marie",
1R61HD105618-01,RADx-rad,PreVAIL kIds,"Chiu, Charles Yen","De Vlaminck, Iwijn|Debiasi, Roberta Lynn|Rostad, Christina Allen",
1ZIAES103366-01,RADx-rad,Diagnostic-Prognostic RNAseq,"Bell, Douglas",,
3U01HL152401-02S1,RADx-rad,Novel Biosensing and VOC,"Ho, Rodney J Y",,
1R61HD105591-01,RADx-rad,PreVAIL kIds,"Manlhiot, Cedric","Dahdah, Nagib|Giglia, Therese M|Kutty, Shelby|McCrindle, Brian W",
4U01DC019579-03,RADx-rad,Chemosensory Testing,"Albers, Mark W",,
1U18TR003780-01,RADx-rad,Exosome,"Das, Samarjit",,
