project_num,dbgap_accession,research_initiative,sub_project,project_serial_num,title,focus,description
1U01HL152410-01,phs002522.v1.p1,RADx-rad,Novel Biosensing and VOC,HL152410,Rapid Acceleration of Diagnostics - Radical (RADx-rad): MOF-SCENT: Metal-Organic Frameworks for Screening COVID-19 by Electronic-Nose Technology to Improve Selectivity and Time Response,COVID-19,"This proposal describes the design, fabrication, and proof-of-concept testing of a novel MOF-SCENT system (Metal-Organic Frameworks for Screening COVID-19 by Electronic-Nose Technology) that features the following advantages: (1) Highly selective and sensitive detection of a variety of VOCs; (2) fast response and recovery time; (3) portable, low-cost, robust, easy-to-use, and deployable in any clinical, community, and everyday setting. The proposed accurate, sensitive, low-cost, robust, and portable MOF-SCENT system provides a realistic approach to dramatically increase testing capacity for COVID-19 because it can be rapidly integrated into and adopted by the public and healthcare systems by deploying a large number of such systems at central facilities (e.g., airports, shopping malls), point-of-care sites (e.g., hospitals, pharmacies, urgent care centers), and workplaces and even homes. The manufacturing of the MOF-SCENT system can be easily scaled to &gt; 50,000 units because the simple design can be fabricated out of stainless steel in common machine shops and the MOF material is commercially available or can be synthesized in organic synthesis laboratories. The detector of the MOF-SCENT system could be manufactured based on existing portable vector network analyzer (VNA) interrogators (new VNA technology called MN7021A RF Sensor., Keysight Technologies, Santa Rosa, CA). Commercially-available VNAs would be stripped down to increase production output and reduce costs (Keysight Technologies can head up the effort to mass-produce the interrogators). Capital costs for the production ramp-up of large numbers of MOF-SCENT systems are minimal because existing machine shops and Keysight Technologies' electronic assembly infrastructure would be used. Installation of the MOF-SCENT system at homes, grocery stores, pharmacies, and medical clinics will significantly increase daily accessibility to on-demand accurate testing and thereby mitigate the second wave of infections of SARS-CoV-2. Keysight Technologies is the world's largest test and measurement manufacturer, with a well-established supply chain, superior logistics and technical support infrastructure, and a commitment to quality control."
1R01NR020105-01,phs002523.v1.p1,RADx-rad,Multimodal Surveillance,NR020105,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Multi-Modal Wireless COVID Monitoring and Infection Alerts for Concentrated Populations,COVID-19,"We plan to extend and improve our COH/PHD system in using wearables for the early detection of COVID-19 infection. With the over 5,000 patients who have been recruited in our original Phase 1 IRB-approved study, we will further optimize our algorithms, especially on its application in individuals with diverse ethnic backgrounds (Aim 1). We will further integrate and optimize MyPHD and COH to enable real-time online detection of COVID-19 (Aim 2). We will deploy MyPHD/COH on the different concentrated populations including pediatric kidney transplant patients, Pac-12 student athletes, and senior living residents (Aim 3)."
1R01DE031114-01,phs002524.v1.p1,RADx-rad,Multimodal Surveillance,DE031114,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Validation of Smart Masks for Surveillance of COVID-19,COVID-19,"Vulnerable populations do not just need testing - they need surveillance. The ideal surveillance tool would operate in the background with minimal involvement of the population to be tested; it would be simple, affordable, reliable, and accurate. Unfortunately, no such assay yet exists. Here, we propose a ""smart mask"" that changes colors when the wearer has been exposed to biomarkers (proteases) of COVID-19. This is a novel approach to surveillance because most people are already wearing masks - especially in high-risk settings. Our first goal is to optimize the reagents that will test the proteases. We will customize the peptide sequences such that the reagents change color only when two key SARS proteases are present. After characterizing the colorimetric reagents, Aim 2 will integrate these reagents into an adhesive test strip that can be affixed to any existing cloth or surgical mask. Aim 3 is validation with human subjects. First, we will use biobanked saliva samples that are confirmed to be either COVID-19-positive or COVID-19-negative. Next, we will evaluate how long people infected with SARS-CoV-2 must breathe through the smart mask before it changes colors. Finally, we will use the smart mask for surveillance of a population that is concurrently being tested regularly via PCR. We will calculate the sensitivity and specificity of the smart masks through comparison to PCR. We will measure true positives, true negatives, false positives, and false negatives and estimate needing 800 subjects, which is very feasible at our institution."
1U01DA053941-01,phs002525.v1.p1,RADx-rad,Wastewater,DA053941,Rapid Acceleration of Diagnostics - Radical (RADx-rad): SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,COVID-19,"The University of Miami (UM), with three primary campuses in Miami, Florida, is geographically spread within one of the worst current COVID-19 hotbeds. UM has deployed an elaborate human surveillance testing, tracking and tracing (3T) system to monitor the student body, faculty, and staff. This 3T system includes a major hospital that is part of UM and that treats COVID-19 patients. To augment this COVID-19 monitoring system, UM has deployed a pilot wastewater surveillance program for detecting SARS-CoV-2 from clusters of buildings on campus. Weill Cornell Medicine (WCM) is located in New York City, NY, an area that until recently had one of the worst outbreaks of COVID-19. WCM has established an international consortium for SARS-CoV-2 environmental surveillance, including in NYC and globally with the MetaSUB Consortium, which is creating metagenomic and metatranscriptomic maps of the world&#39;s sewage. Based on this work at both UM and WCM, this proposal aims to develop, implement, and demonstrate effective and predictive wastewater surveillance by optimizing sampling, concentration, and detection strategies. Working closely with the RADx-rad Data Coordination Center (DCC), this application (SF-RAD) will develop and implement data standards and informatics infrastructure and perform integrative analyses to make all data, results, and models available to the community, thus providing a critical contribution to the national SARS-COV-2 RADx-rad Wastewater Detection Consortium. Our objectives will be addressed through three aims. Aim 1: Data Standardization, focuses on developing and implementing data standards and quality metrics, and establishing the operational infrastructure to manage SARS-CoV-2 wastewater-based surveillance datasets and metadata. Aim 2: Wastewater Characterization, focuses on optimizing wastewater surveillance protocols and parameters for wastewater sampling, sample concentration, and viral detection technologies. Aim 3: Integration with Human Health Surveillance, focuses on metatranscriptomic analyses and on the integration of wastewater quantification data with community and hospital COVID-19 prevalence, to develop predictive models to detect local and community level spread of COVID-19. All data will be made Findable, Accessible, Interoperable and Reusable (FAIR) in close collaboration with the DCC, and will be collected and managed with attention to ethical issues in surveillance and data management, including efforts to ensure research rigor and reproducibility. The results from this proposal will develop and deploy experimental and informatics infrastructure and operations as part of the national RADx-rad SARS-CoV-2 wastewater surveillance network and will provide a proof-of-concept implementation to use wastewater for infectious disease surveillance for early detection of localized COVID-19 outbreaks."
3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,LM013129,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Bioinformatics Framework for Wastewater-based Surveillance of Infectious Diseases,COVID-19,"COVID-19 is expected to become one of the largest mass casualty events in the history of the United States (U.S.). Assessment of the true burden of disease in the population is needed for the prevention and mitigation of this and future viral disease outbreaks. Currently, testing of new cases (via swabs / saliva) and those previously exposed (via serum) has limited reach in the population. However, an alternative approach relying on the analysis of community wastewater can screen up to 70% of the U.S. population on a weekly basis at &lt;0.01% of the cost of clinical screening of individuals. As a population-wide infectious disease surveillance tool, wastewater-based epidemiology (WBE) can be used to complement current surveillance methods to better understand disease burden and how these burdens differ across communities. The goal of our proposed RADx-rad supplement is to implement and evaluate a near real-time WBE framework for SARS-CoV-2 by (i) assessing in near real-time community spread of the new coronavirus, (ii) significantly increasing the fraction of the U.S. population screened, the frequency at which this testing is being completed (weekly) and the geospatial resolution of screening (from city-wide to neighborhood-specific), (iii) comparing novel coronavirus levels in wastewater with the burdens of infection, disease and mortality reported by local health systems, (iv) harvesting high throughput sequence (HTS) data on SARS-CoV-2 variants across the U.S., (v) optimizing pipelines for HTS analysis, and (vi) immediately sharing any new knowledge gained with the RADx-rad Data Coordinating Center (DCC), research community, and the general public via an expansion of our online dashboard that was pioneered by the proposing team in collaboration with the City of Tempe, AZ. We will leverage previously developed, peer-reviewed strategies for population-wide virus monitoring via reverse transcription real-time polymerase chain reaction (RT-qPCR), HTS, sequence analysis, and data communication originally developed for our parent award to quickly provide a data stream and scientific resource for managing the COVID-19 epidemic in the U.S. In Aim 1, develop a wastewater-based epidemiology (WBE) bioinformatics framework for SARS-CoV-2 at the national, city and intra-sewershed or neighborhood-level to produce RT-qPCR and SARS-CoV-2 RNA-seq data for studying the distribution of viral levels and genetic polymorphisms in the community. In Aim 2, we will evaluate a WBE bioinformatics framework for translating SARS-CoV-2 data from RT-qPCR and high-throughput sequencing into information for monitoring population health. Successful completion of this biomedical informatics project will provide the U.S. with an early warning system for SARS-CoV-2 detection and a tracking aid for public health epidemiologists seeking to reduce morbidity and mortality from infectious diseases like COVID-19 in the U.S."
1U01DA053903-01,phs002542.v1.p1,RADx-rad,Wastewater,DA053903,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater Assessment for Coronavirus in Kentucky: Implementing Enhanced Surveillance Technology,COVID-19,"Developing next generation technology to simplify wastewater RNA extraction and quantification will make wastewater surveillance feasible and scalable in facilities and rural communities. Wastewater testing for SARS-CoV-2 in rural communities using field-friendly technology will provide important information to local authorities and citizens about the spread and trend of SARS-CoV-2 infection in their communities. Our project will accomplish two aims: 1) Develop next generation wastewater assessment technology and 2) Implement and evaluate the next generation wastewater assay. For Aim 1 we adapt technology invented by our team termed exclusion-based sample preparation (ESP) to simplify and improve RNA extraction from wastewater. We will pair ESP with loop-mediated isothermal amplification (LAMP) technology for RNA detection to create a sensitive, robust, and field-friendly platform for testing wastewater for SARSCoV-2 RNA. We will compare the next generation assay with established techniques on metrics of sensitivity, specificity, and usability (e.g., assay time, number of assay steps). For Aim 2 we will first validate the next generation assay in the field at congregate living facilities in a side-by-side comparison with conventional wastewater surveillance. Next, building on existing relationships in Eastern Kentucky, we will recruit and train a purposive group of wastewater treatment plant operators, watershed watch citizen scientists, and school science teachers to test wastewater in their communities and schools using the field-friendly next generation wastewater assay. Field results will be validated in the lab. A robust mixed methods evaluation using the RE-AIM framework will assess community perceptions of feasibility, acceptability, and utility of wastewater surveillance for SARS-CoV-2 and identify community measures taken in response to test results."
1U01AA029324-01,phs002543.v1.p1,RADx-rad,Automatic Detection & Tracing,AA029324,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Minimal False-Alarm Touch-Based Detection of SARS-CoV-2 Virus Particles Using Poly-Aptamers,COVID-19,"Reliable real-time detection of SARS-CoV-2 virus represents a considerable challenge, with available tools requiring extensive sample preparation and/or expensive lab-based equipment to obtain accurate results. The objective in this proposal is to build a touch-screen sensor array to directly capture, detect, and identify model SARS-CoV-2 virus particles with minimal false alarms. This ambitious goal will be achieved by the interdisciplinary team of GE Research scientists and engineers and will be a synergistic combination of the proposed innovations and the prior scientific and engineering accomplishments of the team."
1U18TR003778-01,phs002544.v1.p1,RADx-rad,Exosome,TR003778,Rapid Acceleration of Diagnostics - Radical (RADx-rad): AFS/SERS Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection,COVID-19,"This U18 application is responsive to the NIH's RADx-rad Emergency Response to the COVID-pandemic for new or non-traditional technologies developed to single extracellular vesicle, exosome and extracellular RNA (exRNA) isolation and analysis and reposition them for detection of SARS-CoV-2. The applicant's group is a grantee in the NIH Common Fund ""Extraceullar RNA Communication (ERC)"" Program advancing a new and emerging technology of Acoustofluidic Separation (AFS) for label-free, high yield and purity exosomes from biofluids which is coupled to extracellular RNA characterization using Surface Enhanced Raman spectroscopy (SERS) for single EV identification. This U18 application is to reposition the AFS EV technology and SERS for the earliest non-invasive detection of SARS-CoV-2 and host immunity in saliva of infected patients."
1U01AA029328-01,phs002546.v1.p1,RADx-rad,Automatic Detection & Tracing,AA029328,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Development of an Automated Diagnostic Platform for SARS-CoV-2 Monitoring in Vulnerable Areas,COVID-19,"The devastation caused by emerging pathogens with fast transmission capacity, such as SARS-CoV-2, has demonstrated the importance of preparedness for future viral outbreaks; this includes the ability for fast deployment of in-situ testing tools and epidemiological surveillance with high temporal and spatial resolution; particularly in places that are most vulnerable to becoming reservoirs of infectious agents. We propose to develop a versatile multiplexing detection platform for SARS-CoV-2 in saliva. The proposed system will integrate signals from different biorecognition elements. Aptamer, antibody, and ACE2 will be immobilized onto laser inscribed graphene electrodes, and detection mechanisms targeting SARS-CoV-2 spike protein will be studied under varying testing conditions (pH, temperature, ionic strength). After determining the operating conditions for enhanced performance of each biosensor, a self-referencing approach will be used between complementary recognition elements (i.e., possible combinations of aptamers, antibodies, and ACE2 enzyme biosensors) to evaluate the effects on test results accuracy (i.e., risk of false-positive and false-negative results). A saliva pre-treatment protocol will be developed to facilitate SARS-CoV-2 testing in human saliva using the multiplex biosensor platform. An open channel microfluidics system will be designed to automatically split and channel a single saliva sample into multiple streams to the biosensors without saturation, biofouling, and pump requirement. The development of a functional and reliable multiplex biosensor system will be useful for addressing longstanding needs in public health as the respiratory coronavirus family continues its seasonal visits, which may repeat over several decades, much like the occasional visits from the influenza virus, with varying degrees of virulence."
1R61HD105610-01,phs002549.v1.p1,RADx-rad,PreVAIL kIds,HD105610,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Severity Predictors Using Immunology and Transcriptomics in Saliva Using Multi Neural Network Intelligence in SARS-CoV2 Infection in Children (SPITS MISC),COVID-19,"Children have been disproportionately less impacted by the Coronavirus Disease 2019 (COVID-19) caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SAR-CoV-2) compared to adults. However, severe illnesses including Multisystem Inflammatory Syndrome (MIS-C) and respiratory failure have occurred in a small proportion of children with SARS-CoV-2 infection. Nearly 80% of children with MIS-C are critically ill with a 2-4% mortality rate. Currently there are no modalities to characterize the spectrum of disease severity and predict which child with SARS-CoV-2 exposure will likely develop severe illness including MIS-C. Thus there is an urgent need to develop a diagnostic modality to distinguish the varying phenotypes of disease and risk stratify disease. The epigenetic changes in microRNA (miRNA) profiles that occur due to an infection can impact disease severity by altering immune response and cytokine regulation which may be detected in body fluids including saliva. Our long-term goal is to improve outcomes of children with SARS-CoV-2 by early identification and treatment of those at risk for severe illness. Our central hypothesis is that a model that integrates salivary biomarkers with social and clinical determinants of health will predict disease severity in children with SARS-CoV-2 infection. The central hypothesis will be pursued through phased four specific aims. The first two aims will be pursued during the R61 phase and include: 1) Define and compare the salivary molecular host response in children with varying phenotypes (severe and non severe) SARS-CoV-2 infections and 2) Develop and validate a sensitive and specific model to predict severe SARS-CoV-2 illness in children. During the R33 phase we will pursue the following two aims: 3) Develop a portable, rapid device that quantifies salivary miRNAs with comparable accuracy to predicate technology (qRT-PCR), and 4) Develop an artificial intelligence (AI) assisted cloud and mobile system for early recognition of severe SARS-CoV-2 infection in children. We will pursue the above aims using an innovative combination of salivaomics and bioinformatics, analytic techniques of AI and clinical informatics. The proposed research is significant because development of a sensitive model to risk stratify disease is expected to improve outcomes of children with severe SARS-CoV-2 infection via early recognition and timely intervention. The proximate expected outcome of this proposal is better understanding of the epigenetic regulation of host immune response to the viral infection which we expect to lead to personalized therapy in the future. The results will have a positive impact immediately as it will lead to the creation of patient profiles based on individual risk factors which can enable early identification of severe disease and appropriate resource allocation during the pandemic."
