pm_id,pmc_id,doi,title,abstract,keywords,authors,journal,year,publication_date,article_type,project_serial_num,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,award_type,supplement,research_initiative,sub_project
39773555,PMC11827850,doi:10.1172/JCI188222,CXCL12 ameliorates neutrophilia and disease severity in SARS-CoV-2 infection.,"Neutrophils, particularly low-density neutrophils (LDNs), are believed to contribute to acute COVID-19 severity. Here, we showed that neutrophilia can be detected acutely and even months after SARS-CoV-2 infection in patients and mice, while neutrophil depletion reduced disease severity in mice. A key factor in neutrophilia and severe disease in infected mice was traced to the chemokine CXCL12 secreted by bone marrow cells and unexpectedly, endothelial cells. CXCL12 levels were negatively correlated with LDN numbers in longitudinal analyses of patient blood samples. CXCL12 blockade in SARS-CoV-2-infected mice increased blood/lung neutrophil numbers, thereby accelerating disease progression without changing lung virus titers. The exaggerated mortality caused by CXCL12 blockade could be reversed by neutrophil depletion. In addition, blocking interactions between SARS-CoV-2 and angiotensin-converting enzyme 2 (ACE2) reduced CXCL12 levels, suggesting a signal transduction from virus-mediated ACE2 ligation to increased CXCL12 secretion. Collectively, these results demonstrate a previously unappreciated role of CXCL12 in diminishing neutrophilia, including low-density neutrophilia, and its deleterious effects in SARS-CoV-2 infections. The results also support the involvement of SARS-CoV-2-endothelial cell interactions in viral pathogenesis.","Angiotensin-Converting Enzyme 2|Animals|COVID-19|Chemokine CXCL12|Chemokines|Endothelial Cells|Endothelial cells|Female|Humans|Infectious disease|Male|Mice|Mice, Inbred C57BL|Mice, Knockout|Neutrophils|SARS-CoV-2|Severity of Illness Index","Zheng, Jian|Dhakal, Hima|Qing, Enya|Shrestha, Rejeena|Geller, Anne E|Morrissey, Samantha M|Saxena, Divyasha|Hu, Xiaoling|Li, Hong|Li, Haiyan|Wilhelmsen, Kevin|Wendt, Linder H|Klumpp, Klaus|Hume, Patrick S|Janssen, William J|Brody, Rachel|Palmer, Kenneth E|Uriarte, Silvia M|Ten Eyck, Patrick|Meyerholz, David K|Merchant, Michael L|McLeish, Kenneth|Gallagher, Tom|Huang, Jiapeng|Yan, Jun|Perlman, Stanley",The Journal of clinical investigation,2025,2025-01-07,Journal Article,TR003787,,,,,,U18,False,RADx-rad,SCENT
39880798,PMC11800485,doi:10.1093/femsec/fiaf010,Distinct bacteria display genus and species-specific associations with mycobionts in paramo lichens in Colombia.,"Lichens are complex symbiotic systems where fungi interact with an extracellular arrangement of one or more photosynthetic partners and an indeterminate number of other microbes. Recently, specific lichen-microbial community associations have been proposed. In this study, we aimed to characterize the differences in bacteria associated with closely related lichens, under a defined set of environmental conditions in Colombian paramos. Our goal was to determine if there is a correlation between microbiota and host divergence in lichen species belonging to the genus Sticta. We found that specific microbiota are defined by their mycobiont at the genus level. Further, distinct bacterial families show differences among the three studied genera, and specific amplicon sequence variants further discriminate among lichen species within each genus. A geographic component also determines the composition of these microbial communities among lichen species. Our functional analysis revealed that fungal partners play a key role in synthesizing complex polysaccharides, while bacterial-derived antioxidants and photoprotective mechanisms contribute to desiccation tolerance in lichens. These insights highlight the complex interactions within lichen symbioses that could be relevant in environments such as the paramo ecosystem.",Bacteria|Colombia|Fungi|Lichens|Microbiota|Phylogeny|Species Specificity|Symbiosis|habitat-filtering|lichen|microbiota|paramo|symbiosis,"Chaib De Mares, Maryam|Arciniegas Castro, Emerson|Ulloa, Maria Alejandra|Torres, Jean Marc|Sierra, Maria A|Butler, Daniel J|Mason, Christopher E|Zambrano, María Mercedes|Moncada, Bibiana|Reyes Muñoz, Alejandro",FEMS microbiology ecology,2025,2025-01-28,Journal Article,DA053941,,,,,,U01,False,RADx-rad,Wastewater
39948059,PMC11874078,doi:10.1002/wnan.70004,Nanoparticle Contrast Agents for Photon-Counting Computed Tomography: Recent Developments and Future Opportunities.,"The clinical availability of photon-counting computed tomography (PCCT) has ushered in a new era of CT imaging. Spectral imaging coupled with superior contrast resolution, and ultrahigh spatial resolution (200 μm) offered by PCCT has the potential to revolutionize value-driven imaging. The potential of multicolor PCCT has generated excitement, and renewed interest, in novel contrast agent development for comprehensive disease interrogation, prediction and monitoring of treatment outcomes. Nanoparticles provide a versatile and powerful platform for the development of next generation contrast agents for spectral PCCT. In this article, we review recent developments and use of nanoparticle contrast agents for PCCT. We also discuss future research and translational opportunities for nanoparticle-based CT contrast agents enabled by the advent of PCCT and describe key considerations for their clinical translation.","Animals|Contrast Media|Humans|Nanoparticles|Photons|Tomography, X-Ray Computed|cellular imaging|cellular tracking|computed tomography|molecular imaging|nanoparticle contrast agent|photon‐counting CT|radiomics|spectral CT|theranostics","Devkota, Laxman|Bhavane, Rohan|Badea, Cristian T|Tanifum, Eric A|Annapragada, Ananth V|Ghaghada, Ketan B",Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,2025,2025-01-01,Journal Article|Review,HD105593,,,,,,R61,False,RADx-rad,PreVAIL kIds
40101747,PMC11952872,doi:10.1093/jimmun/vkaf006,A genetically modulated Toll-like receptor-tolerant phenotype in peripheral blood cells of children with multisystem inflammatory syndrome.,"Dysregulated innate immune responses contribute to multisystem inflammatory syndrome in children (MIS-C), characterized by gastrointestinal, mucocutaneous, and/or cardiovascular injury occurring weeks after severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) exposure. To investigate innate immune functions, we stimulated ex vivo peripheral blood cells from MIS-C patients with agonists of Toll-like receptors (TLR), key innate immune response initiators. We found severely dampened cytokine responses and elevated gene expression of negative regulators of TLR signaling. Increased plasma levels of zonulin, a gut leakage marker, were also detected. These effects were also observed in fully convalescent children months after MIS-C recovery. When we investigated the genetic background of patients in relation to TLR responsiveness, we found that cells from MIS-C children carrying rare heterozygous variants of lysosomal trafficking regulator (LYST) were less refractory to TLR stimulation and exhibited lysosomal and mitochondrial abnormalities with altered energy metabolism. Moreover, these rare LYST variant heterozygous carriers tended to exhibit unfavorable clinical laboratory indicators of inflammation, including more profound lymphopenia. The results of our observational study have several implications. First, TLR hyporesponsiveness may be associated with hyperinflammation and/or excessive or prolonged stimulation with gut-originated TLR ligands. Second, TLR hyporesponsiveness during MIS-C may be protective, since LYST variant heterozygous carriers exhibited reduced TLR hyporesponsiveness and unfavorable clinical laboratory indicators of inflammation. Thus, links may exist between genetic background, ability to establish a refractory immune state, and MIS-C clinical spectrum. Third, the possibility exists that prolonged TLR hyporesponsiveness is one of the mechanisms driving long coronavirus disease (COVID), which highlights the need to monitor long-term consequences of MIS-C.",LYST|MIS-C|SARS-CoV-2|genetic variants|hyperinflammatory syndrome|innate immunity,"Khan, Rehan|Ji, Weizhen|Guzman Rivera, Jeisac|Madhvi, Abhilasha|Andrews, Tracy|Richlin, Benjamin|Suarez, Christian|Gaur, Sunanda|Hasan, Uzma N|Cuddy, William|Singh, Aalok R|Bukulmez, Hulya|Kaelber, David|Kimura, Yukiko|Ganapathi, Usha|Michailidis, Ioannis E|Ukey, Rahul|Moroso-Fela, Sandra|Kuster, John K|Casseus, Myriam|Roy, Jason|Burns, Jane C|Kleinman, Lawrence C|Horton, Daniel B|Lakhani, Saquib A|Gennaro, Maria Laura","Journal of immunology (Baltimore, Md. : 1950)",2025,2025-03-18,Journal Article,HD105593,,,,,,R61,False,RADx-rad,PreVAIL kIds
39724424,PMC11995861,doi:10.1007/s00216-024-05720-z,Bioreactor contamination monitoring using off-gassed volatile organic compounds (VOCs).,"Metabolically active cells emit volatile organic compounds (VOCs) that can be used in real time to non-invasively monitor the health of cell cultures. We utilized these naturally occurring VOCs in an adapted culture method to detect differences in culturing Chinese hamster ovary (CHO) cells with and without Staphylococcus epidermidis and Aspergillus fumigatus contaminations. The VOC emissions from the cell cultures were extracted and measured from the culture flask headspace using polydimethylsiloxane (PDMS)-coated Twisters, which were subjected to thermal desorption-gas chromatography-mass spectrometry (TD-GC-MS) analysis. In our initial time points of 1 and 2 h, we detected VOC signatures that differentiated the cultures earlier than traditional plating techniques or visualization methods. Partial least squares-discriminant analysis (PLS-DA) models were built to differentiate the analytes from the CHO cells and S. epidermidis- and A. fumigatus-inoculated CHO cultures. A total of 41 compounds with a variable importance in projection (VIP) score greater than 1 was obtained across the models. Similarly, based on the PLS regression analyses to predict the cell concentration of S. epidermidis (R<sup>2</sup> = 0.891) and A. fumigatus (R<sup>2</sup> = 0.375), 15 and 20 relevant compounds were putatively identified, respectively; two known compounds overlapped between the two microbes. Some of the compounds were unidentified and future studies will determine the relationship between the VOCs and the metabolic changes in contaminated cultures.",Animals|Aspergillus fumigatus|Biomanufacturing|Bioreactor|Bioreactors|Breath analysis|CHO Cells|Cell Culture Techniques|Cricetinae|Cricetulus|Gas Chromatography-Mass Spectrometry|Microbial contamination detection|Staphylococcus epidermidis|Volatile Organic Compounds|Volatile organic compounds (VOCs),"Linderholm, Angela L|Bhandari, Manohar P|Borras, Eva|Kwon, Allison|Herve, Flore M|McCartney, Mitchell M|Harper, Richart W|Kenyon, Nicholas J|Davis, Cristina E",Analytical and bioanalytical chemistry,2025,2025-03-01,Journal Article,TR003795,,,,,,U18,False,RADx-rad,SCENT
40143228,PMC11945793,doi:10.3390/v17030297,The Detection of COVID-19-Related Multivariate Biomarker Immune Response in Pediatric Patients: Statistical Aspects.,"The development of new point-of-care diagnostic testing tools for the detection of infectious diseases such as COVID-19 are a key aspect of clinical care and research. Accurate predictive classification methods are required to correctly identify and treat patients. Here, the onset of multisystem inflammatory syndrome in children (MIS-C), a more serious form of COVID-19, was predicted in a pediatric population using a set of multivariate immunological biomarker expression values. A first-stage bivariate detection of statistically significant biomarkers was obtained from a chosen set of standard cytokines and chemokine biomarkers considered relevant to COVID-19-related infection and disease. To incorporate the observed correlation structure among the resulting set of significant biomarkers, dimension reduction was then applied in the form of principal components. A second-stage logistic regression model using a small number of the principal component variables provided a highly predictive classification model for MIS-C. The resulting model was shown to compare favorably with an artificial neural network-based predictive model.","Adolescent|Biomarkers|COVID-19|Chemokines|Child|Child, Preschool|Cytokines|Female|Humans|Infant|Logistic Models|MIS-C|Male|Multivariate Analysis|SARS-CoV-2|SARS-CoV-2 infection|Systemic Inflammatory Response Syndrome|artificial neural network|biomarkers|biplot|correlation|diagnostic testing|dimension reduction|immune system|logistic regression|principal components","Brimacombe, Michael|Jadhav, Aishwarya|Lawrence, David A|Carson, Kyle|Lee, William T|Hogan, Alexander H|Herbst, Katherine W|Lynes, Michael A|Salazar, Juan C",Viruses,2025,2025-02-21,Journal Article,HD105613,,,,,,R61,False,RADx-rad,PreVAIL kIds
40323304,,doi:10.1021/acsnano.4c17685,Self-Assembly of Nanogold Triplets on Trimeric Viral Proteins for Infectious Disease Diagnosis.,"Timely and accurate diagnostics for infectious diseases are essential in preventing their worldwide spread. Though rapid diagnostic tests are favored for their speed, cost-effectiveness, and ease of use, most tests compromise sensitivity, which risks false-negative results. Here, we present the self-assembly of nanogold triplets on trimeric viral surface proteins for a sensitive colorimetric assay to identify viruses. Gold triplets were self-assembled on the viral trimeric surface proteins using ultrasmall gold nanoparticles. We observed a significant wavelength shift of 70 nm, enabling straightforward naked-eye detection through gold triplets that act as catalysts for producing nanoplasmonic viruses. We established the detection limit of 3 × 10<sup>5</sup> copies/ml using an effective colorimetric assay for detecting SARS-CoV-2. The self-assembly of gold triplets on trimeric viral surface proteins provides a reliable approach to the accurate and sensitive detection of viruses.",COVID-19|Colorimetry|Gold|Humans|Limit of Detection|Metal Nanoparticles|SARS-CoV-2|Viral Proteins|antigen test|colorimetric diagnostics|nanoplasmonics|viral trimeric surface proteins|virus,"Liu, Wenpeng|Soliman, Ahmed|Emam, Hagar E|Zhang, Jun|Bonventre, Joseph V|Lee, Luke P|Nasr, Mahmoud L",ACS nano,2025,2025-05-13,"Journal Article|Research Support, N.I.H., Extramural",HL146002,,,,,,U01,True,RADx-rad,Novel Biosensing and VOC
40323304,,doi:10.1021/acsnano.4c17685,Self-Assembly of Nanogold Triplets on Trimeric Viral Proteins for Infectious Disease Diagnosis.,"Timely and accurate diagnostics for infectious diseases are essential in preventing their worldwide spread. Though rapid diagnostic tests are favored for their speed, cost-effectiveness, and ease of use, most tests compromise sensitivity, which risks false-negative results. Here, we present the self-assembly of nanogold triplets on trimeric viral surface proteins for a sensitive colorimetric assay to identify viruses. Gold triplets were self-assembled on the viral trimeric surface proteins using ultrasmall gold nanoparticles. We observed a significant wavelength shift of 70 nm, enabling straightforward naked-eye detection through gold triplets that act as catalysts for producing nanoplasmonic viruses. We established the detection limit of 3 × 10<sup>5</sup> copies/ml using an effective colorimetric assay for detecting SARS-CoV-2. The self-assembly of gold triplets on trimeric viral surface proteins provides a reliable approach to the accurate and sensitive detection of viruses.",COVID-19|Colorimetry|Gold|Humans|Limit of Detection|Metal Nanoparticles|SARS-CoV-2|Viral Proteins|antigen test|colorimetric diagnostics|nanoplasmonics|viral trimeric surface proteins|virus,"Liu, Wenpeng|Soliman, Ahmed|Emam, Hagar E|Zhang, Jun|Bonventre, Joseph V|Lee, Luke P|Nasr, Mahmoud L",ACS nano,2025,2025-05-13,"Journal Article|Research Support, N.I.H., Extramural",HL119145,,,,,,U54,False,RADx-rad,Novel Biosensing and VOC
40321255,PMC12047905,doi:10.1101/2025.04.15.25325887,Lower Odor Identification in Subjective Cognitive Decline: A Meta-analysis.,"Odor identification correlates with Alzheimer's disease (AD) biomarkers, and its decline may emerge before measurable cognitive deficits-as early as the subjective cognitive decline (SCD) stage. We aimed to compare odor identification between SCD and cognitively normal (CN) stages and investigate whether cognitive differences moderate olfactory deficits. A systematic search of four databases identified studies assessing olfactory identification and cognitive screening in individuals aged 50+. A random-effects meta-analysis was performed on 11 studies (660 SCD, 574 CN). Individuals with SCD exhibited lower olfactory identification scores compared to CN participants (SMD = -0.67, 95%CI [-1.31, -0.03], <i>p</i> = .04). Meta-regression revealed a negative association (β = -1.79, p = .02) between cognitive and olfactory differences, indicating that greater cognitive decline was not consistently associated with greater olfactory deficits, lower odor identification scores in SCD occurred despite minimal cognitive differences across groups. Odor identification is lower in pre-MCI individuals reporting SCD. Olfactory decline may emerge independently prior to measurable cognitive decline, supporting the role of odor identification as a screen for AD.",Alzheimer’s disease|Biomarker|Meta-Analysis|Olfaction|Olfactory identification|Smell|Subjective cognitive decline,"Jobin, Benoît|Zigrand, Coline|Frasnelli, Johannes|Boller, Benjamin|Albers, Mark W",medRxiv : the preprint server for health sciences,2025,2025-05-04,Journal Article|Preprint,DC019579,,,,,,U01,False,RADx-rad,Chemosensory Testing
40340802,PMC12063223,doi:10.1186/s12876-025-03937-5,"M64HCl, a focal adhesion kinase activator, promotes intestinal mucosal healing in rats.","Intestinal mucosal injury may arise from various factors. While many drugs target the causative factors, none directly stimulate mucosal wound healing. We found that the specific focal adhesion kinase (FAK) activator, M64HCl, promotes intestinal mucosal healing in mice. This study aims to further validate the therapeutic impact of M64HCl on intestinal mucosal repair in rats as a second species. Wistar rats were assigned to one of four groups: normal control, 1-day injury + vehicle, 4-day injury + vehicle, or 4-day injury + M64HCl. Intestinal injury was induced by serosally applying 75% acetic acid. Immediately after injury, rats received either a continuous infusion of M64HCl (25 mg/kg/day) or its vehicle (saline). Four days post-injury, blood was drawn to measure M64HCl levels and assess liver and kidney function. The intestines were removed and opened, ulcer areas were photographed for size quantification, and tissues were fixed for histological and immunohistochemical analysis. M64HCl substantially reduced ulcer area on gross examination, while histological analysis showed alleviation of pathological changes with M64HCl treatment. Immunohistochemical analysis confirmed increased immunoreactivity for phosphorylated FAK in the epithelium adjacent to the injury in M64HCl-treated rats. However, there was no change in the percentage of Ki67-positive cells in each crypt at the edge of the ulcer area. Serum creatinine, ALT, and AST levels did not differ between the 4-day injury groups with or without M64HCl treatment. M64HCl, a water-soluble FAK activator, promotes acetic acid-induced ulcer healing in rats and may be useful in treating gastrointestinal mucosal injury.","Acetic Acid|Animals|Disease Models, Animal|Focal Adhesion Protein-Tyrosine Kinases|Focal adhesion kinase|Intestinal Mucosa|Male|Mucosal healing|Rats|Rats, Wistar|Small intestine, mucosal injury|Wound Healing","Liu, Guiming|Elsayed, Ahmed Adham R|Kwantwi, Louis Boafo|Gallardo-Macias, Ricardo|Gurvich, Vadim J|Basson, Marc D",BMC gastroenterology,2025,2025-05-08,Journal Article,HL152410,,,,,,U01,False,RADx-rad,Novel Biosensing and VOC
