identifier,pm_id,pmc_id,doi,title,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
31521672_phs002689.v1.p1,31521672,PMC7005378,doi:10.1016/j.chest.2019.08.2185,"Estimated Ventricular Size, Asthma Severity, and Exacerbations: The Severe Asthma Research Program III Cohort.",Adult|Aorta|Asthma|CT imaging|Case-Control Studies|Cone-Beam Computed Tomography|Disease Progression|Female|Forced Expiratory Volume|Heart Ventricles|Humans|Logistic Models|Male|Middle Aged|Organ Size|Pulmonary Artery|Severity of Illness Index|Vital Capacity|asthma|heart,"Ash, Samuel Y|Sanchez-Ferrero, Gonzalo Vegas|Schiebler, Mark L|Rahaghi, Farbod N|Rai, Ashish|Come, Carolyn E|Ross, James C|Colon, Alysha G|Cardet, Juan Carlos|Bleecker, Eugene R|Castro, Mario|Fahy, John V|Fain, Sean B|Gaston, Benjamin M|Hoffman, Eric A|Jarjour, Nizar N|Lempel, Jason K|Mauger, David T|Tattersall, Matthew C|Wenzel, Sally E|Levy, Bruce D|Washko, George R|Israel, Elliot|San Jose Estepar, Raul|",Chest,"Journal Article|Research Support, N.I.H., Extramural",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses a study on asthma severity and exacerbations, focusing on ventricular size and its association with asthma outcomes. This is unrelated to the funding opportunity and grant abstract, which are focused on developing rapid saliva-based COVID-19 tests. The publication does not address any aspects of COVID-19, biosensing technologies, or the objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the relationship between ventricular size, asthma severity, and exacerbations, which is unrelated to COVID-19 or biosensing technologies."
31604088_phs002689.v1.p1,31604088,PMC6949388,doi:10.1016/j.jaci.2019.09.018,Development and initial validation of the Asthma Severity Scoring System (ASSESS).,Adolescent|Adult|Asthma|Asthma control|Child|Female|Humans|Male|Severity of Illness Index|Triamcinolone|asthma severity classification|psychometric testing|severe asthma|tool development,"Fitzpatrick, Anne M|Szefler, Stanley J|Mauger, David T|Phillips, Brenda R|Denlinger, Loren C|Moore, Wendy C|Sorkness, Ronald L|Wenzel, Sally E|Gergen, Peter J|Bleecker, Eugene R|Castro, Mario|Erzurum, Serpil C|Fahy, John V|Gaston, Benjamin M|Israel, Elliot|Levy, Bruce D|Meyers, Deborah A|Teague, W Gerald|Bacharier, Leonard B|Ly, Ngoc P|Phipatanakul, Wanda|Ross, Kristie R|Zein, Joe|Jarjour, Nizar N",The Journal of allergy and clinical immunology,"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Validation Study",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract focuses on the development of a scoring system for asthma severity, which is unrelated to the funding opportunity and grant abstract that are centered around COVID-19 diagnostic testing. The publication does not address any of the objectives related to biosensing technologies, VOC detection, or the RADx-rad initiative.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the development and validation of the Asthma Severity Scoring System (ASSESS) for adolescents and adults. The topics are unrelated, and there is no mention of COVID-19 or biosensing technologies in the publication abstract."
32032631_phs002689.v1.p1,32032631,PMC7343602,doi:10.1016/j.jaci.2020.01.039,Baseline sputum eosinophil + neutrophil subgroups' clinical characteristics and longitudinal trajectories for NHLBI Severe Asthma Research Program (SARP 3) cohort.,Adult|Aged|Asthma|Cohort Studies|Eosinophils|Female|Humans|Male|Middle Aged|Neutrophils|Sputum,"Hastie, Annette T|Mauger, David T|Denlinger, Loren C|Coverstone, Andrea|Castro, Mario|Erzurum, Serpil|Jarjour, Nijar|Levy, Bruce D|Meyers, Deborah A|Moore, Wendy C|Phillips, Brenda|Wenzel, Sally E|Fahy, John V|Israel, Elliot|Bleecker, Eugene R|",The Journal of allergy and clinical immunology,"Clinical Trial|Letter|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses baseline sputum eosinophil and neutrophil subgroups in asthma patients, focusing on clinical characteristics and longitudinal trajectories. This is unrelated to the funding opportunity and grant abstract, which focus on developing rapid saliva-based COVID-19 tests. The publication does not address COVID-19, biosensing technologies, or the objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses asthma research and sputum eosinophil + neutrophil subgroups. There is no apparent connection between the topics, indicating a strong disagreement between the publication and the funding opportunity/grant objectives."
32479111_phs002689.v1.p1,32479111,PMC7528796,doi:10.1164/rccm.201909-1813OC,Evidence for Exacerbation-Prone Asthma and Predictive Biomarkers of Exacerbation Frequency.,Adult|Asthma|Biomarkers|Comorbidity|Diabetes Mellitus|Eosinophils|Female|Forced Expiratory Volume|Humans|Hypertension|IL-6|Inflammation|Interleukin-6|Leukocyte Count|Male|Middle Aged|Obesity|Phenotype|Symptom Flare Up|exacerbation-prone asthma|metabolic dysfunction|obesity|type-2 inflammation,"Peters, Michael C|Mauger, David|Ross, Kristie R|Phillips, Brenda|Gaston, Benjamin|Cardet, Juan Carlos|Israel, Elliot|Levy, Bruce D|Phipatanakul, Wanda|Jarjour, Nizar N|Castro, Mario|Wenzel, Sally E|Hastie, Annette|Moore, Wendy|Bleecker, Eugene|Fahy, John V|Denlinger, Loren C",American journal of respiratory and critical care medicine,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses asthma exacerbation-prone phenotypes and biomarkers, which is unrelated to the funding opportunity focused on COVID-19 diagnostic technologies. The grant abstract aims to develop a rapid saliva-based test for SARS-CoV-2, while the publication focuses on asthma biomarkers, showing no connection to the research objectives.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses exacerbation-prone asthma and predictive biomarkers of exacerbation frequency, which is a completely different topic."
32527776_phs002527.v1.p1,32527776,PMC7291101,doi:10.1128/MRA.00465-20,Coding-Complete Genome Sequence of a Human Respirovirus 1 Strain from a Clinical Sample in Arizona.,,"Scotch, Matthew|Halden, Rolf U|Denton, Anthony|Sandrolini, Helen|Fontenele, Rafaela S|Varsani, Arvind",Microbiology resource announcements,Journal Article,2020,LM013129,3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,1.5,"The publication abstract describes the sequencing of a human respirovirus 1 genome from a clinical sample, which is unrelated to the objectives of the funding opportunity and grant abstract focused on wastewater-based testing for SARS-CoV-2. The publication does not address any aspects of WBE, sample collection, analysis, intervention strategies, or computational models related to the RADx-rad initiative.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on wastewater-based surveillance of SARS-CoV-2 and COVID-19. The publication abstract discusses the genome sequence of a human respirovirus 1 strain, which is a different virus. While the grant abstract mentions the use of high-throughput sequencing, it is in the context of SARS-CoV-2, not human respirovirus 1. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
32795586_phs002689.v1.p1,32795586,PMC7876167,doi:10.1016/j.jaci.2020.07.030,"Genetic analyses identify GSDMB associated with asthma severity, exacerbations, and antiviral pathways.","Adult|Antiviral pathways|Asthma|Chromosomes, Human, Pair 17|Disease Progression|GSDMA|GSDMB|Genetic Association Studies|Genotype|Humans|Middle Aged|Neoplasm Proteins|PGAP3|Polymorphism, Single Nucleotide|Quantitative Trait Loci|RNAseq|Respiratory Mucosa|Sequence Analysis, RNA|Severity of Illness Index|Whole Genome Sequencing|asthma exacerbations|asthma severity|eQTL|genetics|whole-genome sequence","Li, Xingnan|Christenson, Stephanie A|Modena, Brian|Li, Huashi|Busse, William W|Castro, Mario|Denlinger, Loren C|Erzurum, Serpil C|Fahy, John V|Gaston, Benjamin|Hastie, Annette T|Israel, Elliot|Jarjour, Nizar N|Levy, Bruce D|Moore, Wendy C|Woodruff, Prescott G|Kaminski, Naftali|Wenzel, Sally E|Bleecker, Eugene R|Meyers, Deborah A|",The Journal of allergy and clinical immunology,"Journal Article|Research Support, N.I.H., Extramural",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract discusses genetic analyses linking GSDMB to asthma severity and antiviral pathways, which is unrelated to the funding opportunity and grant abstract focused on developing rapid saliva-based COVID-19 tests. The publication does not address the objectives of creating novel biosensing technologies for COVID-19 detection.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses genetic analyses of asthma severity and exacerbations, identifying GSDMB as a functional gene associated with asthma susceptibility and severity. Although both topics relate to respiratory health, they are distinct and unrelated, indicating that the publication is not relevant to the research objectives outlined in the funding opportunity and grant abstract."
32864699_phs002585.v1.p1,32864699,PMC7529060,doi:10.1093/ajcp/aqaa157,Clinical Validation and Performance Evaluation of the Automated Vitros Total Anti-SARS-CoV-2 Antibodies Assay for Screening of Serostatus in COVID-19.,"Antibodies, Viral|Betacoronavirus|COVID-19|COVID-19 Testing|Clinical Laboratory Techniques|Coronavirus|Coronavirus Infections|Humans|IgG|IgM|Immunoassay|Pandemics|Pneumonia, Viral|SARS CoV-2 antibody|SARS-CoV-2|Sensitivity and Specificity|Serologic Tests|Serology|alidation","Garnett, Emily|Jung, Joanna|Tam, Estella|Rajapakshe, Deepthi|Cheney, Stephen|Brown, Cameron|Cao, Jing|Muldrew, Kenneth|Singh, Ila|Versalovic, James|Devaraj, Sridevi",American journal of clinical pathology,Journal Article|Validation Study,2020,HD105593,1R61HD105593-01,phs002585.v1.p1,RADx-rad,PreVAIL kIds,3.0,"The publication abstract describes the validation of a serological assay for detecting SARS-CoV-2 antibodies. While this is related to COVID-19 diagnostics, it does not address the specific objectives of the funding opportunity, which focus on developing novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children and predict disease severity. The publication does not mention pediatric populations, MIS-C, or the development of prognostic algorithms, which are central to the funding opportunity and grant abstract.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support innovative research to develop novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children and identify biomarkers for a prognostic algorithm to predict disease severity. The grant abstract proposes an artificial intelligence/machine learning approach to integrate a rich and heterogeneous dataset to characterize the spectrum of disease and identify biosignatures that predict severity in progressive disease. The publication abstract evaluates the performance of an automated assay for screening of serostatus in COVID-19, which is relevant to the grant's objective of identifying biomarkers for disease severity. Although the publication abstract does not directly address pediatric COVID-19, it contributes to the broader understanding of SARS-CoV-2 serology and antibody testing, which is a crucial aspect of the grant's research objectives."
32997557_phs002642.v1.p1,32997557,PMC7814911,doi:10.1152/jn.00396.2020,Kv4 channel expression and kinetics in GABAergic and non-GABAergic rNST neurons.,"Animals|Electrophysiological Phenomena|Female|GABAergic Neurons|Interneurons|Male|Mice|Mice, Transgenic|Shal Potassium Channels|Solitary Nucleus|Taste Perception|brain stem|computational model|dynamic clamp|mouse|taste","Chen, Z|Boxwell, A|Conte, C|Haas, T|Harley, A|Terman, D H|Travers, S P|Travers, J B",Journal of neurophysiology,"Journal Article|Research Support, N.I.H., Extramural",2020,DC016112,3R01DC016112-04S1,phs002642.v1.p1,RADx-rad,Chemosensory Testing,1.5,"The publication abstract discusses the role of Kv4 channels in GABAergic and non-GABAergic neurons in the rostral nucleus of the solitary tract (rNST), which is involved in gustatory processing. However, this research does not address chemosensory testing as a COVID-19 screening tool, the development of objective tests for chemosensory loss, or the deployment of home-based or on-site chemosensory tests as outlined in the funding opportunity and grant abstract. The publication focuses on ion channel properties and neuronal processing, which is unrelated to the goals of the RADx-rad initiative.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing and deploying a screening tool for assessing chemosensory loss in COVID-19 patients, while the publication abstract discusses the expression and kinetics of Kv4 channels in GABAergic and non-GABAergic neurons in the rostral nucleus of the solitary tract. Although both topics relate to sensory processing, they are distinct and unrelated in their specific research questions and objectives."
33290668_phs002689.v1.p1,33290668,PMC8017577,doi:10.1164/rccm.202002-0454OC,Responsiveness to Parenteral Corticosteroids and Lung Function Trajectory in Adults with Moderate-to-Severe Asthma.,"Adrenal Cortex Hormones|Adult|Aged|Aged, 80 and over|Asthma|Bronchodilator Agents|Cohort Studies|Female|Humans|Infusions, Parenteral|Longitudinal Studies|Male|Middle Aged|Respiratory Function Tests|Severity of Illness Index|Treatment Outcome|corticosteroid sensitivity|exacerbations|longitudinal|lung function|severe asthma","Denlinger, Loren C|Phillips, Brenda R|Sorkness, Ronald L|Bleecker, Eugene R|Castro, Mario|DeBoer, Mark D|Fitzpatrick, Anne M|Hastie, Annette T|Gaffin, Jonathan M|Moore, Wendy C|Peters, Michael C|Peters, Stephen P|Phipatanakul, Wanda|Cardet, Juan Carlos|Erzurum, Serpil C|Fahy, John V|Fajt, Merritt L|Gaston, Benjamin|Levy, Bruce D|Meyers, Deborah A|Ross, Kristie|Teague, W Gerald|Wenzel, Sally E|Woodruff, Prescott G|Zein, Joe|Jarjour, Nizar N|Mauger, David T|Israel, Elliot",American journal of respiratory and critical care medicine,"Journal Article|Research Support, N.I.H., Extramural",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses a study on asthma patients' responsiveness to corticosteroids and their lung function trajectories. This is unrelated to the funding opportunity and grant abstract, which focus on developing rapid, non-invasive COVID-19 diagnostic tests using biosensing technologies. The publication does not address COVID-19, diagnostic testing, or any related technologies, making it irrelevant to the research objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the responsiveness to parenteral corticosteroids and lung function trajectory in adults with moderate-to-severe asthma, which is a completely different topic."
33326352_phs002689.v1.p1,33326352,PMC8017568,doi:10.1164/rccm.202009-3631CI,"Severe Adult Asthmas: Integrating Clinical Features, Biology, and Therapeutics to Improve Outcomes.","Adult|Aged|Aged, 80 and over|Anti-Asthmatic Agents|Antibodies, Monoclonal|Asthma|Biomarkers|Female|Humans|Male|Middle Aged|Molecular Targeted Therapy|Phenotype|Severity of Illness Index|asthma|biologic therapy|cytokines|eosinophils|type 2 asthma","Wenzel, Sally E",American journal of respiratory and critical care medicine,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract focuses on severe adult asthma, discussing clinical features, biology, and therapeutics. This is unrelated to the funding opportunity and grant abstract, which are centered on developing rapid, non-invasive COVID-19 diagnostic tests using saliva and biosensing technologies. The publication does not address COVID-19, diagnostic testing, or any related technologies, making it irrelevant to the research objectives outlined in the funding opportunity and grant.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses severe adult asthmas, their clinical features, biology, and therapeutics. There is no mention of COVID-19 or biosensing technologies in the publication abstract, indicating a lack of relevance to the funding opportunity and grant abstract."
