identifier,pm_id,pmc_id,doi,title,abstract,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
31521672_phs002689.v1.p1,31521672,PMC7005378,doi:10.1016/j.chest.2019.08.2185,"Estimated Ventricular Size, Asthma Severity, and Exacerbations: The Severe Asthma Research Program III Cohort.","Relative enlargement of the pulmonary artery (PA) on chest CT imaging is associated with respiratory exacerbations in patients with COPD or cystic fibrosis. We sought to determine whether similar findings were present in patients with asthma and whether these findings were explained by differences in ventricular size. We measured the PA and aorta diameters in 233 individuals from the Severe Asthma Research Program III cohort. We also estimated right, left, and total epicardial cardiac ventricular volume indices (eERVVI, eELVVI, and eETVVI, respectively). Associations between the cardiac and PA measures (PA-to-aorta [PA/A] ratio, eERVVI-to-eELVVI [eRV/eLV] ratio, eERVVI, eELVVI, eETVVI) and clinical measures of asthma severity were assessed by Pearson correlation, and associations with asthma severity and exacerbation rate were evaluated by multivariable linear and zero-inflated negative binomial regression. Asthma severity was associated with smaller ventricular volumes. For example, those with severe asthma had 36.1 mL/m<sup>2</sup> smaller eETVVI than healthy control subjects (P = .003) and 14.1 mL/m<sup>2</sup> smaller eETVVI than those with mild/moderate disease (P = .011). Smaller ventricular volumes were also associated with a higher rate of asthma exacerbations, both retrospectively and prospectively. For example, those with an eETVVI less than the median had a 57% higher rate of exacerbations during follow-up than those with eETVVI greater than the median (P = .020). Neither PA/A nor eRV/eLV was associated with asthma severity or exacerbations. In patients with asthma, smaller cardiac ventricular size may be associated with more severe disease and a higher rate of asthma exacerbations. ClinicalTrials.gov; No.: NCT01761630; URL: www.clinicaltrials.gov.",Adult|Aorta|Asthma|CT imaging|Case-Control Studies|Cone-Beam Computed Tomography|Disease Progression|Female|Forced Expiratory Volume|Heart Ventricles|Humans|Logistic Models|Male|Middle Aged|Organ Size|Pulmonary Artery|Severity of Illness Index|Vital Capacity|asthma|heart,"Ash, Samuel Y|Sanchez-Ferrero, Gonzalo Vegas|Schiebler, Mark L|Rahaghi, Farbod N|Rai, Ashish|Come, Carolyn E|Ross, James C|Colon, Alysha G|Cardet, Juan Carlos|Bleecker, Eugene R|Castro, Mario|Fahy, John V|Fain, Sean B|Gaston, Benjamin M|Hoffman, Eric A|Jarjour, Nizar N|Lempel, Jason K|Mauger, David T|Tattersall, Matthew C|Wenzel, Sally E|Levy, Bruce D|Washko, George R|Israel, Elliot|San Jose Estepar, Raul|",Chest,"Journal Article|Research Support, N.I.H., Extramural",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses a study on asthma severity and exacerbations, focusing on ventricular size and its association with asthma outcomes. This is unrelated to the funding opportunity and grant abstract, which are focused on developing rapid, non-invasive diagnostic tests for COVID-19 using biosensing technologies. The publication does not address any aspects of COVID-19, diagnostic testing, or the objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the relationship between ventricular size, asthma severity, and exacerbations, which is unrelated to COVID-19 or biosensing technologies."
31604088_phs002689.v1.p1,31604088,PMC6949388,doi:10.1016/j.jaci.2019.09.018,Development and initial validation of the Asthma Severity Scoring System (ASSESS).,"Tools for quantification of asthma severity are limited. We sought to develop a continuous measure of asthma severity, the Asthma Severity Scoring System (ASSESS), for adolescents and adults, incorporating domains of asthma control, lung function, medications, and exacerbations. Baseline and 36-month longitudinal data from participants in phase 3 of the Severe Asthma Research Program (NCT01606826) were used. Scale properties, responsiveness, and a minimally important difference were determined. External replication was performed in participants enrolled in the Severe Asthma Research Program phase 1/2. The utility of ASSESS for detecting treatment response was explored in participants undergoing corticosteroid responsiveness testing with intramuscular triamcinolone and participants receiving biologics. ASSESS scores ranged from 0 to 20 (8.78 ± 3.9; greater scores reflect worse severity) and differed among 5 phenotypic groups. Measurement properties were acceptable. ASSESS was responsive to changes in quality of life with a minimally important difference of 2, with good specificity for outcomes of asthma improvement and worsening but poor sensitivity. Replication analyses yielded similar results, with a 2-point decrease (improvement) associated with improvements in quality of life. Participants with a 2-point or greater decrease (improvement) in ASSESS scores also had greater improvement in lung function and asthma control after triamcinolone, but these differences were limited to phenotypic clusters 3, 4, and 5. Participants treated with biologics also had a 2-point or greater decrease (improvement) in ASSESS scores overall. The ASSESS tool is an objective measure that might be useful in epidemiologic and clinical research studies for quantification of treatment response in individual patients and phenotypic groups. However, validation studies are warranted.",Adolescent|Adult|Asthma|Asthma control|Child|Female|Humans|Male|Severity of Illness Index|Triamcinolone|asthma severity classification|psychometric testing|severe asthma|tool development,"Fitzpatrick, Anne M|Szefler, Stanley J|Mauger, David T|Phillips, Brenda R|Denlinger, Loren C|Moore, Wendy C|Sorkness, Ronald L|Wenzel, Sally E|Gergen, Peter J|Bleecker, Eugene R|Castro, Mario|Erzurum, Serpil C|Fahy, John V|Gaston, Benjamin M|Israel, Elliot|Levy, Bruce D|Meyers, Deborah A|Teague, W Gerald|Bacharier, Leonard B|Ly, Ngoc P|Phipatanakul, Wanda|Ross, Kristie R|Zein, Joe|Jarjour, Nizar N",The Journal of allergy and clinical immunology,"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Validation Study",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract focuses on the development of a scoring system for asthma severity, which is unrelated to the funding opportunity and grant abstract that are centered around COVID-19 diagnostic testing. The publication does not address any of the objectives related to biosensing technologies, VOC detection, or the RADx-rad initiative.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the development and validation of the Asthma Severity Scoring System (ASSESS) for adolescents and adults. The topics are unrelated, and there is no mention of COVID-19 or biosensing technologies in the publication abstract."
32032631_phs002689.v1.p1,32032631,PMC7343602,doi:10.1016/j.jaci.2020.01.039,Baseline sputum eosinophil + neutrophil subgroups' clinical characteristics and longitudinal trajectories for NHLBI Severe Asthma Research Program (SARP 3) cohort.,"Combined elevated sputum eosinophils+neutrophils in asthma associated with lowest lung function, greater healthcare utilization, and longitudinally, further spirometric loss, implicating cell-cell interactions or overlapping inflammatory pathways while increased eosinophils or neutrophils alone show less effect.",Adult|Aged|Asthma|Cohort Studies|Eosinophils|Female|Humans|Male|Middle Aged|Neutrophils|Sputum,"Hastie, Annette T|Mauger, David T|Denlinger, Loren C|Coverstone, Andrea|Castro, Mario|Erzurum, Serpil|Jarjour, Nijar|Levy, Bruce D|Meyers, Deborah A|Moore, Wendy C|Phillips, Brenda|Wenzel, Sally E|Fahy, John V|Israel, Elliot|Bleecker, Eugene R|",The Journal of allergy and clinical immunology,"Clinical Trial|Letter|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses baseline sputum eosinophil and neutrophil subgroups in asthma patients, focusing on clinical characteristics and longitudinal trajectories. This is unrelated to the funding opportunity and grant abstract, which focus on developing rapid saliva-based COVID-19 tests. The publication does not address COVID-19, biosensing technologies, or the objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses asthma research and sputum eosinophil + neutrophil subgroups. There is no apparent connection between the topics, indicating a strong disagreement between the publication and the funding opportunity/grant objectives."
32479111_phs002689.v1.p1,32479111,PMC7528796,doi:10.1164/rccm.201909-1813OC,Evidence for Exacerbation-Prone Asthma and Predictive Biomarkers of Exacerbation Frequency.,"<b>Rationale:</b> Cross-sectional studies suggest an exacerbation-prone asthma (EPA) phenotype and the utility of blood eosinophils and plasma IL-6 as predictive biomarkers.<b>Objectives:</b> To prospectively test for EPA phenotype and utility of baseline blood measures of eosinophils and IL-6 as predictive biomarkers.<b>Methods:</b> Three-year asthma exacerbation data were analyzed in 406 adults in the Severe Asthma Research Program-3. Transition models were used to assess uninformed and informed probabilities of exacerbation in year 3. Binomial regression models were used to assess eosinophils and IL-6 as predictive biomarkers.<b>Measurements and Main Results:</b> Eighty-three participants (21%) had ≥1 exacerbation in each year (EPA) and 168 participants (41%) had no exacerbation in any year (exacerbation-resistant asthma). The uninformed probability of an exacerbation in Year 3 was 40%, but the informed probability increased to 63% with an exacerbation in Year 2 and 82% with an exacerbation in Years 1 and 2. The probability of a Year 3 exacerbation with no Year 1 or 2 exacerbations was 13%. Compared with exacerbation-resistant asthma, EPA was characterized by lower FEV<sub>1</sub> and a higher prevalence of obesity, hypertension, and diabetes. High-plasma IL-6 occurred in EPA, and the incident rate ratio for exacerbation increased 10% for each 1-pg/μl increase in baseline IL-6 level. Although high blood eosinophils did not occur in EPA, the incident rate ratio for exacerbations increased 9% for each 100-cell/μl increase in baseline eosinophil number.<b>Conclusions:</b> Longitudinal analysis confirms an EPA phenotype characterized by features of metabolic dysfunction. Blood measures of IL-6, but not eosinophils, were significantly associated with EPA, and IL-6 and eosinophils predicted exacerbations in the sample as a whole.",Adult|Asthma|Biomarkers|Comorbidity|Diabetes Mellitus|Eosinophils|Female|Forced Expiratory Volume|Humans|Hypertension|IL-6|Inflammation|Interleukin-6|Leukocyte Count|Male|Middle Aged|Obesity|Phenotype|Symptom Flare Up|exacerbation-prone asthma|metabolic dysfunction|obesity|type-2 inflammation,"Peters, Michael C|Mauger, David|Ross, Kristie R|Phillips, Brenda|Gaston, Benjamin|Cardet, Juan Carlos|Israel, Elliot|Levy, Bruce D|Phipatanakul, Wanda|Jarjour, Nizar N|Castro, Mario|Wenzel, Sally E|Hastie, Annette|Moore, Wendy|Bleecker, Eugene|Fahy, John V|Denlinger, Loren C",American journal of respiratory and critical care medicine,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2020,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses asthma exacerbation-prone phenotypes and biomarkers, which is unrelated to the funding opportunity focused on COVID-19 biosensing technologies. The grant abstract aims to develop a rapid saliva antigen test for SARS-CoV-2, while the publication focuses on asthma biomarkers, showing no connection to the research objectives of the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses exacerbation-prone asthma and predictive biomarkers of exacerbation frequency, which is a completely different topic."
32527776_phs002527.v1.p1,32527776,PMC7291101,doi:10.1128/MRA.00465-20,Coding-Complete Genome Sequence of a Human Respirovirus 1 Strain from a Clinical Sample in Arizona.,"Human respirovirus 1 is a single-stranded, negative-sense RNA virus in the family <i>Paramyxoviridae</i> Using a high-throughput metagenomic approach, we identified and sequenced the coding-complete genome of a human respirovirus 1 strain from a nasal pharyngeal swab sample from a local health clinic in Tempe, Arizona.",,"Scotch, Matthew|Halden, Rolf U|Denton, Anthony|Sandrolini, Helen|Fontenele, Rafaela S|Varsani, Arvind",Microbiology resource announcements,Journal Article,2020,LM013129,3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,1.5,"The publication abstract describes the sequencing of a human respirovirus 1 genome from a clinical sample, which is unrelated to the objectives of the funding opportunity and grant abstract focused on wastewater-based testing for SARS-CoV-2. The publication does not address any aspect of wastewater-based epidemiology, sample collection, analysis, intervention strategies, or computational models related to COVID-19 surveillance.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on wastewater-based surveillance of SARS-CoV-2 and COVID-19. The publication abstract discusses the genome sequence of a human respirovirus 1 strain, which is a different virus. While the grant abstract mentions the use of high-throughput sequencing, it is in the context of SARS-CoV-2, not human respirovirus 1. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
32795586_phs002689.v1.p1,32795586,PMC7876167,doi:10.1016/j.jaci.2020.07.030,"Genetic analyses identify GSDMB associated with asthma severity, exacerbations, and antiviral pathways.","The Chr17q12-21.2 region is the strongest and most consistently associated region with asthma susceptibility. The functional genes or single nucleotide polymorphisms (SNPs) are not obvious due to linkage disequilibrium. We sought to comprehensively investigate whole-genome sequence and RNA sequence from human bronchial epithelial cells to dissect functional genes/SNPs for asthma severity in the Severe Asthma Research Program. Expression quantitative trait loci analysis (n = 114), correlation analysis (n = 156) of gene expression and asthma phenotypes, and pathway analysis were performed in bronchial epithelial cells and replicated. Genetic association for asthma severity (426 severe vs 531 nonsevere asthma) and longitudinal asthma exacerbations (n = 273) was performed. Multiple SNPs in gasdermin B (GSDMB) associated with asthma severity (odds ratio, >1.25) and longitudinal asthma exacerbations (P < .05). Expression quantitative trait loci analyses identified multiple SNPs associated with expression levels of post-GPI attachment to proteins 3, GSDMB, or gasdermin A (3.1 × 10<sup>-9</sup> <P < 1.8 × 10<sup>-4</sup>). Higher expression levels of GSDMB correlated with asthma and greater number of exacerbations (P < .05). Expression levels of GSDMB correlated with genes involved in IFN signaling, MHC class I antigen presentation, and immune system pathways (false-discovery rate-adjusted P < .05). rs1031458 and rs3902920 in GSDMB colocalized with IFN regulatory factor binding sites and associated with GSDMB expression, asthma severity, and asthma exacerbations (P < .05). By using a unique set of gene expression data from lung cells obtained using bronchoscopy from comprehensively characterized subjects with asthma, we show that SNPs in GSDMB associated with asthma severity, exacerbations, and GSDMB expression levels. Furthermore, its expression levels correlated with asthma exacerbations and antiviral pathways. Thus, GSDMB is a functional gene for both asthma susceptibility and severity.","Adult|Antiviral pathways|Asthma|Chromosomes, Human, Pair 17|Disease Progression|GSDMA|GSDMB|Genetic Association Studies|Genotype|Humans|Middle Aged|Neoplasm Proteins|PGAP3|Polymorphism, Single Nucleotide|Quantitative Trait Loci|RNAseq|Respiratory Mucosa|Sequence Analysis, RNA|Severity of Illness Index|Whole Genome Sequencing|asthma exacerbations|asthma severity|eQTL|genetics|whole-genome sequence","Li, Xingnan|Christenson, Stephanie A|Modena, Brian|Li, Huashi|Busse, William W|Castro, Mario|Denlinger, Loren C|Erzurum, Serpil C|Fahy, John V|Gaston, Benjamin|Hastie, Annette T|Israel, Elliot|Jarjour, Nizar N|Levy, Bruce D|Moore, Wendy C|Woodruff, Prescott G|Kaminski, Naftali|Wenzel, Sally E|Bleecker, Eugene R|Meyers, Deborah A|",The Journal of allergy and clinical immunology,"Journal Article|Research Support, N.I.H., Extramural",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract discusses genetic analyses linking GSDMB to asthma severity and antiviral pathways, which is unrelated to the funding opportunity and grant abstract focused on developing rapid saliva-based COVID-19 tests. The publication does not address COVID-19, biosensing technologies, or the objectives outlined in the funding opportunity.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses genetic analyses of asthma severity, exacerbations, and antiviral pathways. Although both topics are related to respiratory health, they are distinct and unrelated in terms of specific research objectives and methodologies."
32864699_phs002585.v1.p1,32864699,PMC7529060,doi:10.1093/ajcp/aqaa157,Clinical Validation and Performance Evaluation of the Automated Vitros Total Anti-SARS-CoV-2 Antibodies Assay for Screening of Serostatus in COVID-19.,"Evaluation of serostatus against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has emerged as an important tool in identification of exposure to coronavirus disease 2019 (COVID-19). We report on the validation of the Vitros Anti-SARS-CoV-2 Total (CoV2T) assay for qualitative serologic testing of SARS-CoV-2 antibodies. We performed validation studies according to Commission of Office Laboratories Accreditation guidelines, using samples previously tested for SARS-CoV-2 by reverse transcription-polymerase chain reaction (RT-PCR). We evaluated precision, analytical interferences, and cross-reactivity with other viral infections; evaluated concordance with molecular and other serologic testing; and evaluated seroconversion. The Vitros CoV2T assay exhibited acceptable precision and did not exhibit cross-reactivity with other acute respiratory virus infections. The CoV2T assay exhibited 100% negative predictive agreement (56/56) and 71% positive predictive agreement (56/79) with RT-PCR across all patient samples and was concordant with other serologic assays. Concordance with RT-PCR was 97% more than 7 days after symptom onset. The CoV2T assay was robust to icterus and lipemia but had interference from significant hemolysis. The Vitros CoV2T assay was successfully validated in our laboratory. We anticipate it will be a useful tool in screening for exposure to SARS-CoV-2; however, the use of the CoV2T and other serologic assays in the clinical management of patients with COVID-19 is unknown and must be evaluated in future studies.","Antibodies, Viral|Betacoronavirus|COVID-19|COVID-19 Testing|Clinical Laboratory Techniques|Coronavirus|Coronavirus Infections|Humans|IgG|IgM|Immunoassay|Pandemics|Pneumonia, Viral|SARS CoV-2 antibody|SARS-CoV-2|Sensitivity and Specificity|Serologic Tests|Serology|alidation","Garnett, Emily|Jung, Joanna|Tam, Estella|Rajapakshe, Deepthi|Cheney, Stephen|Brown, Cameron|Cao, Jing|Muldrew, Kenneth|Singh, Ila|Versalovic, James|Devaraj, Sridevi",American journal of clinical pathology,Journal Article|Validation Study,2020,HD105593,1R61HD105593-01,phs002585.v1.p1,RADx-rad,PreVAIL kIds,3.0,"The publication abstract describes the validation of a serological assay for detecting SARS-CoV-2 antibodies. While this is related to COVID-19 diagnostics, it does not address the specific objectives of the funding opportunity, which focus on developing novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children and predict disease severity. The publication does not mention pediatric populations, MIS-C, or the development of prognostic algorithms, which are central to the grant's objectives.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support innovative research to develop novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children and identify biomarkers for a prognostic algorithm to predict disease severity. The grant abstract proposes an artificial intelligence/machine learning approach to integrate a rich and heterogeneous dataset to characterize the spectrum of disease and identify biosignatures that predict severity in progressive disease. The publication abstract evaluates the performance of an automated assay for screening of serostatus in COVID-19, which is relevant to the grant's objective of identifying biomarkers for disease severity. Although the publication abstract does not directly address pediatric COVID-19, it contributes to the broader understanding of SARS-CoV-2 serology and antibody testing, which is a crucial aspect of the grant's research objectives."
32997557_phs002642.v1.p1,32997557,PMC7814911,doi:10.1152/jn.00396.2020,Kv4 channel expression and kinetics in GABAergic and non-GABAergic rNST neurons.,"The rostral nucleus of the solitary tract (rNST) serves as the first central relay in the gustatory system. In addition to synaptic interactions, central processing is also influenced by the ion channel composition of individual neurons. For example, voltage-gated K<sup>+</sup> channels such as outward K<sup>+</sup> current (<i>I</i><sub>A</sub>) can modify the integrative properties of neurons. <i>I</i><sub>A</sub> currents are prevalent in rNST projection cells but are also found to a lesser extent in GABAergic interneurons. However, characterization of the kinetic properties of <i>I</i><sub>A</sub>, the molecular basis of these currents, as well as the consequences of <i>I</i><sub>A</sub> on spiking properties of identified rNST cells is lacking. Here, we show that <i>I</i><sub>A</sub> in rNST GABAergic (G+) and non-GABAergic (G-) neurons share a common molecular basis. In both cell types, there was a reduction in <i>I</i><sub>A</sub> following treatment with the specific Kv4 channel blocker AmmTx3. However, the kinetics of activation and inactivation of <i>I</i><sub>A</sub> in the two cell types were different with G- neurons having significantly more negative half-maximal activation and inactivation values. Likewise, under current clamp, G- cells had significantly longer delays to spike initiation in response to a depolarizing stimulus preceded by a hyperpolarizing prepulse. Computational modeling and dynamic clamp suggest that differences in the activation half-maximum may account for the differences in delay. We further observed evidence for a window current under both voltage clamp and current clamp protocols. We speculate that the location of Kv4.3 channels on dendrites, together with a window current for <i>I</i><sub>A</sub> at rest, serves to regulate excitatory afferent inputs.<b>NEW & NOTEWORTHY</b> Here, we demonstrate that the transient outward K<sup>+</sup> current <i>I</i><sub>A</sub> occurs in both GABAergic and non-GABAergic neurons via Kv4.3 channels in the rostral (gustatory) solitary nucleus. Although found in both cell types, <i>I</i><sub>A</sub> is more prevalent in non-GABAergic cells; a larger conductance at more negative potentials leads to a greater impact on spike initiation compared with GABAergic neurons. An <i>I</i><sub>A</sub> window current further suggests that <i>I</i><sub>A</sub> can regulate excitatory afferent input to the nucleus.","Animals|Electrophysiological Phenomena|Female|GABAergic Neurons|Interneurons|Male|Mice|Mice, Transgenic|Shal Potassium Channels|Solitary Nucleus|Taste Perception|brain stem|computational model|dynamic clamp|mouse|taste","Chen, Z|Boxwell, A|Conte, C|Haas, T|Harley, A|Terman, D H|Travers, S P|Travers, J B",Journal of neurophysiology,"Journal Article|Research Support, N.I.H., Extramural",2020,DC016112,3R01DC016112-04S1,phs002642.v1.p1,RADx-rad,Chemosensory Testing,1.5,"The publication abstract focuses on the characterization of Kv4 channels in GABAergic and non-GABAergic neurons of the rostral nucleus of the solitary tract (rNST), which is involved in gustatory processing. This research is unrelated to the objectives of the funding opportunity and grant abstract, which are centered on developing a confectionary-based screening tool for chemosensory loss in COVID-19 patients. The publication does not address chemosensory testing, COVID-19, or any related diagnostic tools, making it unrelated to the funding opportunity.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing and deploying a screening tool for assessing chemosensory loss in COVID-19 patients, while the publication abstract discusses the expression and kinetics of Kv4 channels in GABAergic and non-GABAergic neurons in the rostral nucleus of the solitary tract. Although both topics relate to sensory function, they are distinct and unrelated in terms of their specific research questions, methods, and applications. Therefore, the publication abstract does not align with the research objectives outlined in the funding opportunity and grant abstract."
33290668_phs002689.v1.p1,33290668,PMC8017577,doi:10.1164/rccm.202002-0454OC,Responsiveness to Parenteral Corticosteroids and Lung Function Trajectory in Adults with Moderate-to-Severe Asthma.,"<b>Rationale:</b> It is unclear why select patients with moderate-to-severe asthma continue to lose lung function despite therapy. We hypothesized that participants with the smallest responses to parenteral corticosteroids have the greatest risk of undergoing a severe decline in lung function.<b>Objectives:</b> To evaluate corticosteroid-response phenotypes as longitudinal predictors of lung decline.<b>Methods:</b> Adults within the NHLBI SARP III (Severe Asthma Research Program III) who had undergone a course of intramuscular triamcinolone at baseline and at ≥2 annual follow-up visits were evaluated. Longitudinal slopes were calculated for each participant's post-bronchodilator FEV<sub>1</sub>% predicted. Categories of participant FEV<sub>1</sub> slope were defined: severe decline, >2% loss/yr; mild decline, >0.5-2.0% loss/yr; no change, 0.5% loss/yr to <1% gain/yr; and improvement, ≥1% gain/yr. Regression models were used to develop predictors of severe decline.<b>Measurements and Main Results:</b> Of 396 participants, 78 had severe decline, 91 had mild decline, 114 had no change, and 113 showed improvement. The triamcinolone-induced difference in the post-bronchodilator FEV<sub>1</sub>% predicted (derived by baseline subtraction) was related to the 4-year change in lung function or slope category in univariable models (<i>P</i> < 0.001). For each 5% decrement in the triamcinolone-induced difference the FEV1% predicted, there was a 50% increase in the odds of being in the severe decline group (odds ratio, 1.5; 95% confidence interval, 1.3-1.8), when adjusted for baseline FEV<sub>1</sub>, exacerbation history, blood eosinophils and body mass index.<b>Conclusions:</b> Failure to improve the post-bronchodilator FEV<sub>1</sub> after a challenge with parenteral corticosteroids is an evoked biomarker for patients at risk for a severe decline in lung function.","Adrenal Cortex Hormones|Adult|Aged|Aged, 80 and over|Asthma|Bronchodilator Agents|Cohort Studies|Female|Humans|Infusions, Parenteral|Longitudinal Studies|Male|Middle Aged|Respiratory Function Tests|Severity of Illness Index|Treatment Outcome|corticosteroid sensitivity|exacerbations|longitudinal|lung function|severe asthma","Denlinger, Loren C|Phillips, Brenda R|Sorkness, Ronald L|Bleecker, Eugene R|Castro, Mario|DeBoer, Mark D|Fitzpatrick, Anne M|Hastie, Annette T|Gaffin, Jonathan M|Moore, Wendy C|Peters, Michael C|Peters, Stephen P|Phipatanakul, Wanda|Cardet, Juan Carlos|Erzurum, Serpil C|Fahy, John V|Fajt, Merritt L|Gaston, Benjamin|Levy, Bruce D|Meyers, Deborah A|Ross, Kristie|Teague, W Gerald|Wenzel, Sally E|Woodruff, Prescott G|Zein, Joe|Jarjour, Nizar N|Mauger, David T|Israel, Elliot",American journal of respiratory and critical care medicine,"Journal Article|Research Support, N.I.H., Extramural",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses a study on asthma patients' responsiveness to corticosteroids and lung function decline, which is unrelated to the funding opportunity and grant abstract focused on developing rapid saliva-based COVID-19 tests. The research objectives of the funding opportunity involve biosensing technologies for COVID-19 detection, while the publication deals with asthma treatment outcomes, showing no connection.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the responsiveness to parenteral corticosteroids and lung function trajectory in adults with moderate-to-severe asthma, which is a completely different topic."
33326352_phs002689.v1.p1,33326352,PMC8017568,doi:10.1164/rccm.202009-3631CI,"Severe Adult Asthmas: Integrating Clinical Features, Biology, and Therapeutics to Improve Outcomes.","Evaluation and effective management of asthma, and in particular severe asthma, remains at the core of pulmonary practice. Over the last 20-30 years, there has been increasing appreciation that ""severe asthma"" encompasses multiple different subgroups or phenotypes, each with differing presentations. Using clinical phenotyping, in combination with rapidly advancing molecular tools and targeted monoclonal antibodies (human knockouts), the understanding of these phenotypes, and our ability to treat them, have greatly advanced. Type-2 (T2)-high and -low severe asthmas are now easily identified. Fractional exhaled nitric oxide and blood eosinophil counts can be routinely employed in clinical settings to identify these phenotypes and predict responses to specific therapies, meeting the initial goals of precision medicine. Integration of molecular signals, biomarkers, and clinical responses to targeted therapies has enabled identification of critical molecular pathways and, in certain phenotypes, advanced them to near-endotype status. Despite these advances, little guidance is available to determine which class of biologic is appropriate for a given patient, and current ""breakthrough"" therapies remain expensive and even inaccessible to many patients. Many of the most severe asthmas, with and without T2-biomarker elevations, remain poorly understood and treated. Nevertheless, conceptual understanding of ""the severe asthmas"" has evolved dramatically in a mere 25 years, leading to dramatic improvements in the lives of many.","Adult|Aged|Aged, 80 and over|Anti-Asthmatic Agents|Antibodies, Monoclonal|Asthma|Biomarkers|Female|Humans|Male|Middle Aged|Molecular Targeted Therapy|Phenotype|Severity of Illness Index|asthma|biologic therapy|cytokines|eosinophils|type 2 asthma","Wenzel, Sally E",American journal of respiratory and critical care medicine,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses severe asthma phenotypes, biomarkers, and treatments, which is unrelated to the funding opportunity and grant abstract focused on developing rapid saliva-based COVID-19 tests. The publication does not address COVID-19, biosensing technologies, or the objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses severe adult asthmas, their clinical features, biology, and therapeutics. There is no overlap or connection between the topics, indicating that the publication is not relevant to the research objectives outlined in the funding opportunity and grant abstract."
