identifier,pm_id,pmc_id,doi,title,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
32511591_phs002527.v1.p1,32511591,PMC7276018,doi:10.1101/2020.04.17.20069641,An 81 base-pair deletion in SARS-CoV-2 ORF7a identified from sentinel surveillance in Arizona (Jan-Mar 2020).,,"Holland, LaRinda A|Kaelin, Emily A|Maqsood, Rabia|Estifanos, Bereket|Wu, Lily I|Varsani, Arvind|Halden, Rolf U|Hogue, Brenda G|Scotch, Matthew|Lim, Efrem S",medRxiv : the preprint server for health sciences,Journal Article|Preprint,2020,LM013129,3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,3.5,"The publication abstract describes the identification of an 81 base-pair deletion in the SARS-CoV-2 ORF7a gene through sentinel surveillance in Arizona. While this finding is related to COVID-19 research, it does not directly address the objectives of the funding opportunity or the grant abstract, which focus on wastewater-based testing, bioinformatics frameworks, and population-wide surveillance. The publication's focus on genetic mutations in specific samples does not align with the broader goals of the RADx-rad initiative, which emphasizes community-level testing and data sharing.","The publication abstract directly addresses the research objectives of the funding opportunity and the grant abstract. The funding opportunity announcement (FOA) focuses on the Rapid Acceleration of Diagnostics-Radical (RADx-rad) initiative, specifically on wastewater-based testing (WBT) surveillance for COVID-19. The grant abstract proposes a bioinformatics framework for wastewater-based surveillance of infectious diseases, including SARS-CoV-2. The publication abstract discusses an 81 base-pair deletion in SARS-CoV-2 ORF7a identified from sentinel surveillance in Arizona, which aligns with the goals of the grant abstract and the funding opportunity. The publication's focus on SARS-CoV-2 surveillance and genetic variation is highly relevant to the research objectives outlined in both the funding opportunity and the grant abstract, indicating a strong connection between the publication and the research aims of the funding opportunity and grant."
32556127_phs002699.v1.p1,32556127,PMC7545248,doi:10.1093/chemse/bjaa038,Identifying Treatments for Taste and Smell Disorders: Gaps and Opportunities.,Congresses as Topic|Genetic Therapy|Humans|Olfaction Disorders|Regenerative Medicine|Small Molecule Libraries|Stem Cell Transplantation|Stem Cells|Taste Disorders|cell culture|olfaction|sniff,"Mainland, Joel D|Barlow, Linda A|Munger, Steven D|Millar, Sarah E|Vergara, M Natalia|Jiang, Peihua|Schwob, James E|Goldstein, Bradley J|Boye, Shannon E|Martens, Jeffrey R|Leopold, Donald A|Bartoshuk, Linda M|Doty, Richard L|Hummel, Thomas|Pinto, Jayant M|Trimmer, Casey|Kelly, Christine|Pribitkin, Edmund A|Reed, Danielle R",Chemical senses,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2020,DC019578,1U01DC019578-01,phs002699.v1.p1,RADx-rad,Chemosensory Testing,3.5,"The publication discusses the identification of treatments for taste and smell disorders, which is related to the broader theme of chemosensory dysfunction. However, the publication does not specifically address the development or deployment of rapid, objective chemosensory tests for COVID-19 screening, which is the primary focus of the funding opportunity and grant abstract. While both the grant and the publication are concerned with chemosensory issues, the publication's focus on treatment development rather than diagnostic tools makes its relevance to the funding opportunity limited.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support the development of novel approaches to identify COVID-19, including chemosensory testing. The grant abstract proposes a rapid smell test for COVID-19 surveillance, and the publication abstract discusses the importance of treating taste and smell disorders, which is relevant to the grant's objective. Although the publication abstract does not directly focus on COVID-19, it highlights the need for effective treatments for chemosensory disorders, which aligns with the funding opportunity's goal of enhancing the utility of chemosensory testing as a COVID-19 screening tool. Therefore, the publication is related to the research objectives, but not directly focused on COVID-19, resulting in a score of 4 (Agree)."
32564071_phs002699.v1.p1,32564071,PMC7337664,doi:10.1093/chemse/bjaa041,"More Than Smell-COVID-19 Is Associated With Severe Impairment of Smell, Taste, and Chemesthesis.","Adult|Aged|Betacoronavirus|COVID-19|Coronavirus Infections|Female|Humans|Male|Middle Aged|Olfaction Disorders|Pandemics|Pneumonia, Viral|SARS-CoV-2|Self Report|Smell|Somatosensory Disorders|Surveys and Questionnaires|Taste|Taste Disorders|Young Adult|head and neck surgery|olfaction|somatosensation","Parma, Valentina|Ohla, Kathrin|Veldhuizen, Maria G|Niv, Masha Y|Kelly, Christine E|Bakke, Alyssa J|Cooper, Keiland W|Bouysset, Cédric|Pirastu, Nicola|Dibattista, Michele|Kaur, Rishemjit|Liuzza, Marco Tullio|Pepino, Marta Y|Schöpf, Veronika|Pereda-Loth, Veronica|Olsson, Shannon B|Gerkin, Richard C|Rohlfs Domínguez, Paloma|Albayay, Javier|Farruggia, Michael C|Bhutani, Surabhi|Fjaeldstad, Alexander W|Kumar, Ritesh|Menini, Anna|Bensafi, Moustafa|Sandell, Mari|Konstantinidis, Iordanis|Di Pizio, Antonella|Genovese, Federica|Öztürk, Lina|Thomas-Danguin, Thierry|Frasnelli, Johannes|Boesveldt, Sanne|Saatci, Özlem|Saraiva, Luis R|Lin, Cailu|Golebiowski, Jérôme|Hwang, Liang-Dar|Ozdener, Mehmet Hakan|Guàrdia, Maria Dolors|Laudamiel, Christophe|Ritchie, Marina|Havlícek, Jan|Pierron, Denis|Roura, Eugeni|Navarro, Marta|Nolden, Alissa A|Lim, Juyun|Whitcroft, Katherine L|Colquitt, Lauren R|Ferdenzi, Camille|Brindha, Evelyn V|Altundag, Aytug|Macchi, Alberto|Nunez-Parra, Alexia|Patel, Zara M|Fiorucci, Sébastien|Philpott, Carl M|Smith, Barry C|Lundström, Johan N|Mucignat, Carla|Parker, Jane K|van den Brink, Mirjam|Schmuker, Michael|Fischmeister, Florian Ph S|Heinbockel, Thomas|Shields, Vonnie D C|Faraji, Farhoud|Santamaría, Enrique|Fredborg, William E A|Morini, Gabriella|Olofsson, Jonas K|Jalessi, Maryam|Karni, Noam|D'Errico, Anna|Alizadeh, Rafieh|Pellegrino, Robert|Meyer, Pablo|Huart, Caroline|Chen, Ben|Soler, Graciela M|Alwashahi, Mohammed K|Welge-Lüssen, Antje|Freiherr, Jessica|de Groot, Jasper H B|Klein, Hadar|Okamoto, Masako|Singh, Preet Bano|Hsieh, Julien W||Reed, Danielle R|Hummel, Thomas|Munger, Steven D|Hayes, John E",Chemical senses,"Journal Article|Research Support, Non-U.S. Gov't",2020,DC019578,1U01DC019578-01,phs002699.v1.p1,RADx-rad,Chemosensory Testing,4.5,"The publication abstract discusses the impact of COVID-19 on multiple chemosensory modalities, including smell, taste, and chemesthesis, which aligns with the funding opportunity's focus on chemosensory testing as a COVID-19 screening tool. The grant abstract specifically aims to develop and validate an objective smell test, SCENTinel, which is relevant to the publication's findings on chemosensory impairments. While the publication does not directly address the SCENTinel test, it provides valuable insights into the broader impact of COVID-19 on chemosensory functions, supporting the importance of the grant's objectives.","The publication abstract directly addresses the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support the development of novel approaches to identify SARS-CoV-2, including chemosensory testing as a COVID-19 screening tool. The grant abstract proposes a rapid and objective measure of smell ability, the SCENTinel test, for COVID-19 surveillance. The publication abstract reports on a study that investigated the association between COVID-19 and chemosensory impairments, including smell, taste, and chemesthesis, which aligns with the objectives of the funding opportunity and the grant abstract. The study's findings on the severe impairment of smell, taste, and chemesthesis in COVID-19 patients support the development of chemosensory tests, such as the SCENTinel test, as a potential tool for COVID-19 screening."
32676608_phs002699.v1.p1,32676608,PMC7359533,doi:10.1101/2020.07.04.20145870,Objective sensory testing methods reveal a higher prevalence of olfactory loss in COVID-19-positive patients compared to subjective methods: A systematic review and meta-analysis.,COVID-19|SARS-CoV-2|anosmia|coronavirus|olfactory dysfunction,"Hannum, Mackenzie E|Ramirez, Vicente A|Lipson, Sarah J|Herriman, Riley D|Toskala, Aurora K|Lin, Cailu|Joseph, Paule V|Reed, Danielle R",medRxiv : the preprint server for health sciences,Journal Article|Preprint,2020,DC019578,1U01DC019578-01,phs002699.v1.p1,RADx-rad,Chemosensory Testing,4.5,"The publication abstract discusses the higher prevalence of olfactory loss in COVID-19 patients when using objective testing methods compared to subjective methods. This aligns with the funding opportunity's goal to enhance the utility of chemosensory testing as a COVID-19 screening tool by using objective tests. The grant abstract specifically mentions the development of the SCENTinel test, which is an objective measure of smell ability. The publication supports the importance of objective testing, which is a key component of the grant's objectives. Therefore, the publication is relevant to the research aims of the funding opportunity and the grant abstract.","The publication abstract directly addresses the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support the development of novel approaches to identify SARS-CoV-2, including the use of chemosensory testing as a COVID-19 screening tool. The grant abstract proposes the development and deployment of a rapid and objective measure of smell ability, the SCENTinel test, for COVID-19 surveillance. The publication abstract presents a systematic review and meta-analysis of studies on olfactory loss in COVID-19-positive patients, comparing the prevalence of olfactory loss using objective and subjective methods. The findings of the publication abstract support the use of objective sensory testing methods, such as the SCENTinel test, to reveal a higher prevalence of olfactory loss in COVID-19-positive patients. Therefore, the publication is strongly related to the research objectives of the funding opportunity and the grant abstract."
32743605_phs002699.v1.p1,32743605,PMC7386529,doi:10.1101/2020.07.22.20157263,The best COVID-19 predictor is recent smell loss: a cross-sectional study.,,"Gerkin, Richard C|Ohla, Kathrin|Veldhuizen, Maria Geraldine|Joseph, Paule V|Kelly, Christine E|Bakke, Alyssa J|Steele, Kimberley E|Farruggia, Michael C|Pellegrino, Robert|Pepino, Marta Y|Bouysset, Cédric|Soler, Graciela M|Pereda-Loth, Veronica|Dibattista, Michele|Cooper, Keiland W|Croijmans, Ilja|Di Pizio, Antonella|Ozdener, M Hakan|Fjaeldstad, Alexander W|Lin, Cailu|Sandell, Mari A|Singh, Preet B|Brindha, V Evelyn|Olsson, Shannon B|Saraiva, Luis R|Ahuja, Gaurav|Alwashahi, Mohammed K|Bhutani, Surabhi|D'Errico, Anna|Fornazieri, Marco A|Golebiowski, Jérôme|Hwang, Liang-Dar|Öztürk, Lina|Roura, Eugeni|Spinelli, Sara|Whitcroft, Katherine L|Faraji, Farhoud|Fischmeister, Florian Ph S|Heinbockel, Thomas|Hsieh, Julien W|Huart, Caroline|Konstantinidis, Iordanis|Menini, Anna|Morini, Gabriella|Olofsson, Jonas K|Philpott, Carl M|Pierron, Denis|Shields, Vonnie D C|Voznessenskaya, Vera V|Albayay, Javier|Altundag, Aytug|Bensafi, Moustafa|Bock, María Adelaida|Calcinoni, Orietta|Fredborg, William|Laudamiel, Christophe|Lim, Juyun|Lundström, Johan N|Macchi, Alberto|Meyer, Pablo|Moein, Shima T|Santamaría, Enrique|Sengupta, Debarka|Domínguez, Paloma Paloma|Yanık, Hüseyin|Boesveldt, Sanne|de Groot, Jasper H B|Dinnella, Caterina|Freiherr, Jessica|Laktionova, Tatiana|Mariño, Sajidxa|Monteleone, Erminio|Nunez-Parra, Alexia|Abdulrahman, Olagunju|Ritchie, Marina|Thomas-Danguin, Thierry|Walsh-Messinger, Julie|Al Abri, Rashid|Alizadeh, Rafieh|Bignon, Emmanuelle|Cantone, Elena|Cecchini, Maria Paola|Chen, Jingguo|Guàrdia, Maria Dolors|Hoover, Kara C|Karni, Noam|Navarro, Marta|Nolden, Alissa A|Mazal, Patricia Portillo|Rowan, Nicholas R|Sarabi-Jamab, Atiye|Archer, Nicholas S|Chen, Ben|Di Valerio, Elizabeth A|Feeney, Emma L|Frasnelli, Johannes|Hannum, Mackenzie|Hopkins, Claire|Klein, Hadar|Mignot, Coralie|Mucignat, Carla|Ning, Yuping|Ozturk, Elif E|Peng, Mei|Saatci, Ozlem|Sell, Elizabeth A|Yan, Carol H|Alfaro, Raul|Cecchetto, Cinzia|Coureaud, Gérard|Herriman, Riley D|Justice, Jeb M|Kaushik, Pavan Kumar|Koyama, Sachiko|Overdevest, Jonathan B|Pirastu, Nicola|Ramirez, Vicente A|Roberts, S Craig|Smith, Barry C|Cao, Hongyuan|Wang, Hong|Balungwe, Patrick|Baguma, Marius|Hummel, Thomas|Hayes, John E|Reed, Danielle R|Niv, Masha Y|Munger, Steven D|Parma, Valentina",medRxiv : the preprint server for health sciences,Journal Article|Preprint,2020,DC019578,1U01DC019578-01,phs002699.v1.p1,RADx-rad,Chemosensory Testing,5.0,"The publication directly addresses the specific research aims and methodology outlined in the funding opportunity and grant's abstract. The study investigates the predictive value of smell loss for COVID-19, which aligns with the funding opportunity's goal to enhance chemosensory testing as a screening tool. The publication's findings support the development of tools like SCENTinel, as mentioned in the grant abstract, by demonstrating that smell loss is a strong predictor of COVID-19.","The publication abstract directly addresses the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support the development of novel approaches to identify COVID-19, including the use of chemosensory testing as a screening tool. The grant abstract proposes the development and deployment of a rapid smell test, SCENTinel, for COVID-19 surveillance. The publication abstract investigates the reliability of olfactory loss as a predictor of COVID-19 and develops a tool, ODoR-19, to screen for recent olfactory loss. The findings of the publication abstract align with the objectives of the funding opportunity and the grant abstract, demonstrating the importance of smell loss as a predictor of COVID-19 and the need for objective chemosensory tests. Therefore, the publication is strongly related to the research objectives of the funding opportunity and the grant abstract."
32808988_phs002603.v1.p1,32808988,PMC7454742,doi:10.1093/jpids/piaa098,Multidisciplinary Guidance Regarding the Use of Immunomodulatory Therapies for Acute Coronavirus Disease 2019 in Pediatric Patients.,Acute Disease|COVID-19|COVID-19 Drug Treatment|Child|Humans|IL-1|IL-6|Immunomodulation|Risk Assessment|SARS-CoV-2|Severity of Illness Index|immunomodulatory therapy,"Dulek, Daniel E|Fuhlbrigge, Robert C|Tribble, Alison C|Connelly, James A|Loi, Michele M|El Chebib, Hassan|Chandrakasan, Shanmuganathan|Otto, William R|Diorio, Caroline|Keim, Garrett|Walkovich, Kelly|Jaggi, Preeti|Girotto, Jennifer E|Yarbrough, April|Behrens, Edward M|Cron, Randy Q|Bassiri, Hamid",Journal of the Pediatric Infectious Diseases Society,Journal Article,2020,HD105594,1R61HD105594-01,phs002603.v1.p1,RADx-rad,PreVAIL kIds,3.5,"The publication abstract discusses the use of immunomodulatory therapies for acute COVID-19 in pediatric patients, focusing on severe and critical cases. While it mentions MIS-C, it does not directly address the development of diagnostic or prognostic biomarkers for MIS-C, which is the primary focus of the funding opportunity and grant abstract. Therefore, the publication is somewhat related but does not fully align with the research objectives.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. Both the funding opportunity and the grant abstract focus on the diagnosis and treatment of COVID-19 and its related conditions, such as MIS-C, in children. The publication abstract discusses the use of immunomodulatory therapies for acute COVID-19 in pediatric patients, which aligns with the objectives of the funding opportunity and the grant abstract. Although the publication abstract does not directly address the development of diagnostic biomarkers or biosignatures for MIS-C, it does provide guidance on the use of immunomodulatory therapies for severe or critical pediatric COVID-19, which is relevant to the overall goal of improving diagnosis and treatment of COVID-19 and its related conditions in children."
32855191_phs002585.v1.p1,32855191,PMC7963225,doi:10.3174/ajnr.A6794,Design of 3D-Printed Nasopharyngeal Swabs for Children is Enabled by Radiologic Imaging.,"Adult|COVID-19|COVID-19 Testing|Child|Child, Preschool|Computer-Aided Design|Disposable Equipment|Female|Humans|Infant|Male|Models, Anatomic|Nasopharynx|Pediatrics|Printing, Three-Dimensional|SARS-CoV-2|Tomography, X-Ray Computed","Starosolski, Z|Admane, P|Dunn, J|Kaziny, B|Huisman, T A G M|Annapragada, A",AJNR. American journal of neuroradiology,Journal Article,2020,HD105593,1R61HD105593-01,phs002585.v1.p1,RADx-rad,PreVAIL kIds,3.5,"The publication abstract describes the design of 3D-printed nasopharyngeal swabs for children, which is related to diagnostic testing for COVID-19. While this is relevant to the broader goals of the RADx-rad initiative, which focuses on developing innovative diagnostic approaches, the specific objectives of the grant abstract, which emphasize the development of prognostic algorithms and biomarkers for MIS-C, are not directly addressed. The publication focuses on improving the diagnostic process through better swab design, which is a supportive but not central aspect of the grant's aims.","The publication abstract is related to the funding opportunity and grant abstract as it discusses the design of 3D-printed nasopharyngeal swabs for children, which is relevant to the development of diagnostic tools for COVID-19, a key focus of the RADx-rad initiative. The grant abstract mentions the need for novel diagnostic approaches, including sample collection and analysis, which aligns with the publication's focus on designing swabs for pediatric use. While the publication abstract does not directly address the specific research objectives of the grant abstract, such as characterizing the spectrum of SARS-CoV-2 associated illness in children or identifying biomarkers for disease severity, it contributes to the broader goal of developing innovative diagnostic solutions for COVID-19, particularly in pediatric populations."
32956703_phs002585.v1.p1,32956703,PMC7501146,doi:10.1016/j.cca.2020.09.023,Clinical performance of a semi-quantitative assay for SARS-CoV2 IgG and SARS-CoV2 IgM antibodies.,"Betacoronavirus|Enzyme-Linked Immunosorbent Assay|Epitopes|Humans|IgG, IgM|Immunoglobulin G|Immunoglobulin M|SARS CoV-2 antibody|SARS-CoV-2|Serology|Validation","Jung, Joanna|Garnett, Emily|Jariwala, Purviben|Pham, Hue|Huang, Rongrong|Benzi, Eduardo|Issaq, Niveen|Matzuk, Martin|Singh, Ila|Devaraj, Sridevi",Clinica chimica acta; international journal of clinical chemistry,Journal Article,2020,HD105593,1R61HD105593-01,phs002585.v1.p1,RADx-rad,PreVAIL kIds,3.5,"The publication abstract describes the validation of an ELISA assay for detecting SARS-CoV-2 IgG and IgM antibodies. While this is related to diagnostic testing, it does not specifically address the objectives of the funding opportunity, which focuses on developing novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children and predict disease severity. The publication does not mention pediatric cases, MIS-C, or the use of AI/machine learning for prognostic algorithms. Therefore, while related to COVID-19 diagnostics, it does not directly align with the specific research aims of the funding opportunity.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support innovative research to develop novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children and identify biomarkers for a prognostic algorithm to predict disease severity. The grant abstract proposes an artificial intelligence/machine learning approach to integrate a rich and heterogeneous dataset to characterize the spectrum of disease and identify biosignatures that predict severity in progressive disease. The publication abstract reports on the validation of a semi-quantitative assay for SARS-CoV-2 IgG and IgM antibodies, which is relevant to the development of diagnostic and prognostic biomarkers for COVID-19. While the publication abstract does not directly address the specific focus on pediatric COVID-19, it contributes to the broader goal of understanding and diagnosing COVID-19, which is aligned with the objectives of the funding opportunity and the grant abstract."
32970023_phs002603.v1.p1,32970023,PMC8555855,doi:10.1097/PEC.0000000000002248,Distinguishing Multisystem Inflammatory Syndrome in Children From Kawasaki Disease and Benign Inflammatory Illnesses in the SARS-CoV-2 Pandemic.,"Adolescent|Betacoronavirus|COVID-19|Child|Coronavirus Infections|Critical Care|Diagnosis, Differential|Disease Management|Female|Humans|Male|Mucocutaneous Lymph Node Syndrome|Pandemics|Pneumonia, Viral|Retrospective Studies|SARS-CoV-2","Corwin, Daniel J|Sartori, Laura F|Chiotos, Kathleen|Odom John, Audrey R|Cohn, Keri|Bassiri, Hamid|Behrens, Edward M|Teachey, David T|Henrickson, Sarah E|Diorio, Caroline J|Zorc, Joseph J|Balamuth, Fran",Pediatric emergency care,Journal Article,2020,HD105594,1R61HD105594-01,phs002603.v1.p1,RADx-rad,PreVAIL kIds,4.5,"The publication abstract describes a study comparing clinical and laboratory features among children with MIS-C, Kawasaki Disease, and other inflammatory illnesses. This aligns with the funding opportunity's objective to develop diagnostic strategies for MIS-C in children. The study's findings on distinguishing critically ill MIS-C patients from other conditions contribute to the development of diagnostic tools, which is a key aim of the RADx-rad initiative.","The publication abstract directly addresses the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support innovative research to develop novel approaches to diagnose and characterize the spectrum of SARS-CoV-2 associated illness in children, including multisystem inflammatory syndrome in children (MIS-C). The grant abstract proposes to determine the reproducible changes in breath, urine, and salivary volatile composition in children diagnosed with MIS-C and develop a novel diagnostic strategy. The publication abstract presents a study that compares presenting clinical and laboratory features among children meeting the surveillance definition for MIS-C, which aligns with the objectives of the funding opportunity and the grant abstract. The study aims to distinguish MIS-C from other causes of fever, such as Kawasaki disease, and identifies clinical and laboratory features that may help distinguish critically ill MIS-C patients. The publication abstract demonstrates a strong connection to the research objectives of the funding opportunity and the grant abstract, indicating a high level of relevance."
33208926_phs002523.v1.p1,33208926,PMC9020268,doi:10.1038/s41551-020-00640-6,Pre-symptomatic detection of COVID-19 from smartwatch data.,"Adult|Asymptomatic Diseases|COVID-19|Female|Humans|Male|Monitoring, Physiologic|Pandemics|Retrospective Studies|SARS-CoV-2|Wearable Electronic Devices","Mishra, Tejaswini|Wang, Meng|Metwally, Ahmed A|Bogu, Gireesh K|Brooks, Andrew W|Bahmani, Amir|Alavi, Arash|Celli, Alessandra|Higgs, Emily|Dagan-Rosenfeld, Orit|Fay, Bethany|Kirkpatrick, Susan|Kellogg, Ryan|Gibson, Michelle|Wang, Tao|Hunting, Erika M|Mamic, Petra|Ganz, Ariel B|Rolnik, Benjamin|Li, Xiao|Snyder, Michael P",Nature biomedical engineering,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2020,NR020105,1R01NR020105-01,phs002523.v1.p1,RADx-rad,Multimodal Surveillance,5.0,"The publication directly addresses the specific research aims and methodology outlined in the funding opportunity and grant's abstract. The publication focuses on the pre-symptomatic detection of COVID-19 using smartwatch data, which aligns with the grant's objective of developing multi-modal surveillance technologies for high-density populations. The grant aims to optimize algorithms for diverse ethnic backgrounds and deploy systems in concentrated settings, which the publication supports by demonstrating the effectiveness of wearable devices in early detection.","The publication abstract directly addresses the research objectives of the funding opportunity and the grant abstract. The funding opportunity focuses on developing and validating COVID-19 surveillance methods, particularly in high-density settings, using multimodal surveillance inputs. The grant abstract proposes a project that extends and improves a system for early detection of COVID-19 infection using wearables, aiming to optimize algorithms for diverse ethnic backgrounds, integrate systems for real-time detection, and deploy the system in concentrated populations. The publication abstract presents a study that uses smartwatch data for pre-symptomatic detection of COVID-19, showing that physiological and activity data can be used to detect COVID-19 before symptom onset. This aligns with the goals of both the funding opportunity and the grant abstract, demonstrating a strong connection between the publication and the research objectives outlined in the funding opportunity and grant abstract."
